t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
1.1,TAKEOFF,TO_PREFLIGHT,0.38,80,79.62,4.8,0.11,-0.33,-10.19,90.06,-0.109,0.2,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337.8,6,0,0.92,0.5,1,2.44,0.92,0.02,0.22,LANDED
1.82,TAKEOFF,TO_PREFLIGHT,0.42,80,79.58,5.59,0.31,0.27,-46.54,90.05,-0.105,0.4,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.2,2337.71,6,0,0.78,0.5,2,1.43,0.92,0.78,0.94,LANDED
2.52,TAKEOFF,TO_PREFLIGHT,0.48,80,79.52,5.07,-0.16,-0.57,10.76,90.02,-0.108,0.6,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.93,2337.61,6,0,0.72,0.5,3,1.43,0.78,0.72,1.66,LANDED
3.24,TAKEOFF,TO_PREFLIGHT,0.58,80,79.42,5.12,-0.31,-0.08,25.07,89.98,-0.098,0.8,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.96,2337.44,6,0,0.66,0.5,4,1.43,0.72,0.66,2.36,LANDED
3.94,TAKEOFF,TO_PREFLIGHT,1.11,80,78.89,5.24,0.03,-0.17,0.31,90.02,-0.099,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.54,2336.54,6,0,0.7,0.5,5,1.43,0.7,0.66,3.06,LANDED
4.62,TAKEOFF,TO_PREFLIGHT,1.99,80,78.01,5.19,0.11,-0.33,-3.14,90.01,-0.096,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772.51,2335.01,6,0,0.7,0.5,6,1.43,0.7,0.7,3.76,LANDED
5.32,TAKEOFF,TO_PREFLIGHT,3.29,80,76.71,5.19,-0.03,-0.25,-0.17,90,-0.11,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976.08,2332.72,6,0,0.7,0.5,7,1.43,0.7,0.7,4.46,LANDED
6.02,TAKEOFF,TO_PREFLIGHT,4.95,80,75.05,5.19,-0.1,-0.21,0.87,89.99,-0.106,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.2,2329.78,6,0,0.7,0.5,8,1.43,0.7,0.7,5.16,LANDED
6.72,TAKEOFF,TO_PREFLIGHT,6.9,80,73.1,5.19,-0.05,-0.22,0.14,89.99,-0.097,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304.37,2326.24,6,0,0.7,0.5,9,1.43,0.7,0.7,5.86,LANDED
7.46,TAKEOFF,TO_PREFLIGHT,9.25,80,70.75,5.2,-0.02,-0.21,-0.11,89.98,-0.103,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442.53,2321.89,6,0,0.74,0.5,10,1.35,0.74,0.7,6.6,LANDED
8.14,TAKEOFF,TO_GROUND_ROLL,11.64,80,68.36,5.21,-0.08,-0.19,0.15,89.98,-0.105,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.343,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551.56,2317.37,6,0,0.72,0.5,11,1.47,0.74,0.72,7.28,LANDED
8.94,TAKEOFF,TO_GROUND_ROLL,14.81,80,65.19,5.22,-0.08,-0.18,0.13,89.98,-0.1,1,0,0,0,0,0,0,0,0,0,90.43,0,0,0,0,0,0,0,0,0,90.43,1,0,-0.452,0.0174,0.695,0,0.0174,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658.03,2311.25,6,0,0.68,0.5,12,1.28,0.72,0.68,8.06,LANDED
9.7,TAKEOFF,TO_GROUND_ROLL,18.16,80,61.84,5.22,-0.1,-0.18,0.11,89.96,-0.101,1,0,0,0,0,0,0,0,0,0,90.41,0,0,0,0,0,0,0,0,0,90.41,1,0,-0.451,0.0162,0.728,0,0.0162,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745.34,2304.65,6,0,0.76,0.5,13,1.32,0.76,0.68,8.82,LANDED
10.44,TAKEOFF,TO_GROUND_ROLL,21.66,80,58.34,5.22,-0.13,-0.18,0.14,89.86,-0.102,1,0,0,0,0,0,0,0,0,0,90.43,0,0,0,0,0,0,0,0,0,90.43,1,0,-0.571,0.0239,0.763,0,0.0239,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818.83,2297.62,6,0,0.76,0.5,14,1.32,0.76,0.76,9.58,LANDED
11.2,TAKEOFF,TO_GROUND_ROLL,25.19,80,54.81,5.22,-0.14,-0.17,0.13,89.7,-0.104,1,0,0,0,0,0,0,0,0,0,90.46,0,0,0,0,0,0,0,0,0,90.46,1,0,-0.759,0.0347,0.798,0,0.0347,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878.96,2290.43,6,0,0.74,0.5,15,1.35,0.76,0.74,10.32,LANDED
11.92,TAKEOFF,TO_GROUND_ROLL,28.82,80,51.18,5.23,-0.16,-0.16,0.14,89.48,-0.105,1,0,0,0,0,0,0,0,0,0,90.48,0,0,0,0,0,0,0,0,0,90.48,1,0,-1.002,0.048,0.834,0,0.048,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1929.4,2282.98,6,0,0.74,0.5,16,1.35,0.74,0.74,11.06,LANDED
12.66,TAKEOFF,TO_GROUND_ROLL,32.52,80,47.48,5.23,-0.18,-0.15,0.15,89.21,-0.107,1,0,0,0,0,0,0,0,0,0,90.5,0,0,0,0,0,0,0,0,0,90.5,1,0,-1.281,0.0634,0.871,0,0.0634,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971.54,2275.33,6,0,0.74,0.5,17,1.35,0.74,0.74,11.8,LANDED
13.4,TAKEOFF,TO_GROUND_ROLL,36.29,80,43.71,5.23,-0.2,-0.15,0.15,88.93,-0.107,1,0,0,0,0,0,0,0,0,0,90.5,0,0,0,0,0,0,0,0,0,90.5,1,0,-1.576,0.0798,0.909,0,0.0798,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.56,2267.56,6,0,0.74,0.5,18,1.35,0.74,0.74,12.54,LANDED
14.2,TAKEOFF,TO_GROUND_ROLL,40.3,80,39.7,5.24,-0.21,-0.14,0.15,88.62,-0.109,1,0,0,0,0,0,0,0,0,0,90.51,0,0,0,0,0,0,0,0,0,90.51,1,0,-1.885,0.0979,0.949,0,0.0979,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036.91,2259.29,6,0,0.78,0.5,19,1.28,0.78,0.74,13.32,LANDED
14.96,TAKEOFF,TO_GROUND_ROLL,44.25,80,35.75,5.24,-0.23,-0.13,0.16,88.35,-0.109,1,0,0,0,0,0,0,0,0,0,90.5,0,0,0,0,0,0,0,0,0,90.5,1,0,-2.147,0.1129,0.988,0,0.1129,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061,2251.25,6,0,0.76,0.5,20,1.32,0.78,0.76,14.08,LANDED
15.7,TAKEOFF,TO_GROUND_ROLL,48.22,80,31.78,5.25,-0.25,-0.12,0.17,88.12,-0.108,1,0,0,0,0,0,0,0,0,0,90.48,0,0,0,0,0,0,0,0,0,90.48,1,0,-2.367,0.1229,1,0,0.1229,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080.52,2243.29,6,0,0.76,0.5,21,1.32,0.76,0.76,14.84,LANDED
16.46,TAKEOFF,TO_GROUND_ROLL,52.2,80,27.8,5.25,-0.26,-0.11,0.17,87.92,-0.107,1,0,0,0,0,0,0,0,0,0,90.47,0,0,0,0,0,0,0,0,0,90.47,1,0,-2.549,0.1299,1,0,0.1299,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2096.2,2235.47,6,0,0.76,0.5,22,1.32,0.76,0.76,15.6,LANDED
17.22,TAKEOFF,TO_GROUND_ROLL,56.19,80,23.81,5.25,-0.28,-0.1,0.18,87.74,-0.106,1,0,0,0,0,0,0,0,0,0,90.46,0,0,0,0,0,0,0,0,0,90.46,1,0,-2.719,0.1371,1,0,0.1371,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108.69,2227.85,6,0,0.76,0.5,23,1.32,0.76,0.76,16.36,LANDED
17.98,TAKEOFF,TO_GROUND_ROLL,60.17,80,19.83,5.26,-0.29,-0.08,0.19,87.57,-0.105,1,0,0,0,0,0,0,0,0,0,90.46,0,0,0,0,0,0,0,0,0,90.46,1,0,-2.897,0.1456,1,0,0.1456,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118.53,2220.49,6,0,0.76,0.5,24,1.32,0.76,0.76,17.12,LANDED
18.74,TAKEOFF,TO_GROUND_ROLL,64.13,80,15.87,5.26,-0.31,-0.07,0.19,87.37,-0.106,1,0,0,0,0,0,0,0,0,0,90.47,0,0,0,0,0,0,0,0,0,90.47,1,0,-3.103,0.1563,1,0,0.1563,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126.18,2213.45,6,0,0.76,0.5,25,1.32,0.76,0.76,17.88,LANDED
19.5,TAKEOFF,TO_GROUND_ROLL,68.08,80,11.92,5.27,-0.32,-0.06,0.2,87.13,-0.107,1,0,0,0,0,0,0,0,0,0,90.49,0,0,0,0,0,0,0,0,0,90.49,1,0,-3.361,0.1706,1,0,0.1706,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132.07,2206.76,6,0,0.76,0.5,26,1.32,0.76,0.76,18.64,LANDED
20.26,TAKEOFF,TO_GROUND_ROLL,72.05,80,7.95,5.28,-0.36,-0.06,0.24,86.86,-0.102,1,0,0,0,0,0,0,0,0,0,90.5,0,0,0,0,0,0,0,0,0,90.5,1,0,-3.634,0.1845,1,0,0.1845,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2139.5,2203.7,6,0,0.76,0.5,27,1.32,0.76,0.76,19.4,LANDED
21.02,TAKEOFF,TO_GROUND_ROLL,76.01,80,3.99,5.28,-0.33,-0.04,0.21,86.75,-0.094,1,0,0,0,0,0,0,0,0,0,90.44,0,0,0,0,0,0,0,0,0,90.44,1,0,-3.692,0.1805,1,0,0.1805,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151.63,2206.99,6,0,0.76,0.5,28,1.32,0.76,0.76,20.16,LANDED
