t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
1.22,APPROACH,FLY_TO_FIX,232.66,140.8,-91.86,1341.29,2.51,5.77,5.61,267.53,-4.305,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,256.14,0.007,1,0,0.67,11.4,0,-0.02,0,0,55.336,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.53,3753.6,6,0,0.94,0.5,1,1.89,0.94,0.02,1.28,FLYING
1.98,APPROACH,FLY_TO_FIX,230.62,141.6,-89.02,1350.79,6.94,10.43,14.29,266.7,-4.169,0,0,0,1,0.6,1.357,0.75,0.35,0.0168,0.4,256.05,-0.03,0,1,0.77,10.65,0,-0.04,0,0,55.151,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.47,3731.57,6,0,0.72,0.5,2,1.32,0.94,0.72,2.04,FLYING
2.76,APPROACH,FLY_TO_FIX,223.2,142.4,-80.8,1368.18,22.74,21.61,19.21,264.13,-4.325,0.2,0,-20,1,0.6,1.939,0.823,0.35,0.0168,0.4,255.97,-0.11,0,1,4.03,8.16,0,-0.06,0,0,54.964,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.11,3646.64,6,0,0.78,0.5,3,1.28,0.78,0.72,2.82,FLYING
3.5,APPROACH,FLY_TO_FIX,214.03,143.2,-70.83,1393.41,37.33,27.03,19.58,262.01,-4.648,0.4,0,-20,1,0.6,2.453,0.823,0.35,0.0168,0.4,255.89,-0.226,0,1,8.19,6.12,0,-0.07,0,0,54.793,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.81,3535.84,6,0,0.74,0.5,4,1.35,0.78,0.74,3.54,FLYING
4.24,APPROACH,FLY_TO_FIX,205.16,144,-61.16,1428.01,49.58,30.68,19.58,260.43,-4.88,0.6,0,-20,1,0.6,2.905,0.823,0.35,0.0168,0.4,255.82,-0.389,0,1,12.04,4.61,0,-0.09,0,0,54.63,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.76,3424.46,6,0,0.74,0.5,5,1.35,0.74,0.74,4.28,FLYING
4.98,APPROACH,FLY_TO_FIX,196.79,144.8,-51.99,1470.76,59.9,34.12,19.58,259.39,-4.923,0.8,0,-20,1,0.6,3.301,0.823,0.35,0.0168,0.4,255.76,-0.594,0,1,15.54,3.63,0,-0.1,0,0,54.475,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582.55,3316.28,6,0,0.74,0.5,6,1.35,0.74,0.74,5.02,FLYING
5.72,APPROACH,FLY_TO_FIX,189.01,145.6,-43.41,1520.35,68.68,37.41,19.59,258.98,-4.657,1,0,-20,1,0.6,3.645,0.823,0.35,0.0168,0.4,255.7,-0.836,0,1,18.71,3.28,0,-0.12,0,0,54.328,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839.09,3213.6,6,0,0.74,0.5,7,1.35,0.74,0.74,5.76,FLYING
6.46,APPROACH,FLY_TO_FIX,181.88,146.4,-35.48,1575.77,76.23,40.51,19.59,258.56,-4.473,1,0,-20,1,0.6,3.944,0.823,0.35,0.0168,0.4,255.64,-1.107,0,1,21.59,2.92,0,-0.13,0,0,54.188,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129.89,3118.25,6,0,0.74,0.5,8,1.35,0.74,0.74,6.5,FLYING
7.2,APPROACH,FLY_TO_FIX,175.37,147.2,-28.17,1636.23,82.75,43.45,19.59,258.14,-4.289,1,0,-20,1,0.6,4.202,0.823,0.35,0.0168,0.4,255.59,-1.404,0,1,24.22,2.56,0,-0.14,0,0,54.055,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364.59,3030.26,6,0,0.74,0.5,9,1.35,0.74,0.74,7.24,FLYING
7.96,APPROACH,FLY_TO_FIX,169.19,148,-21.19,1702.82,88.5,46.33,19.59,257.69,-4.139,1,0,-20,1,0.6,4.424,0.823,0.35,0.0168,0.4,255.54,-1.732,0,1,26.67,2.16,0,-0.16,0,0,53.926,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555.79,2946.2,6,0,0.76,0.5,10,1.32,0.76,0.74,8,FLYING
8.72,APPROACH,FLY_TO_FIX,163.41,148.8,-14.61,1773.31,93.4,49.06,19.59,257.21,-4.046,1,0,-20,1,0.6,4.5,0.823,0.35,0.0168,0.4,255.49,-2.081,0,1,28.9,1.72,0,-0.17,0,0,53.804,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1705.59,2867.38,6,0,0.76,0.5,11,1.32,0.76,0.76,8.76,FLYING
9.48,APPROACH,FLY_TO_FIX,157.94,149,-8.94,1847.09,97.51,51.67,19.59,256.69,-3.962,1,0,-20,1,0.6,4.5,0.823,0.35,0.0168,0.4,255.45,-2.447,0,1,30.92,1.24,0,-0.18,0,0,53.688,0,0,0,0,0,267.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821.37,2792.86,6,0,0.76,0.5,12,1.32,0.76,0.76,9.52,FLYING
