t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
0.12,APPROACH,FLY_TO_FIX,262.98,140.13,-122.85,2248.22,-35.82,-2.46,4.67,90.55,0,0,0,0,1,0.6,1.095,0.75,0.35,0.0168,0.4,270.75,0,1,0,-7.76,179.79,0,0,90,-0.998,0.0129,-0.0611,4.67,270.75,0,0,94.118,0,0,0,0,0,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.52,1550.23,2,0,0.08,0.08,1,3.45,0.08,0.02,0.12,FLYING
0.4,APPROACH,FLY_TO_FIX,263.84,140.61,-123.23,2238.03,-35.48,-3.17,3.87,90.44,0.005,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.75,0,0,1,-7.66,179.69,0,4.23,270.75,-0.9987,0.0129,-0.0488,3.96,270.75,0,0,94.197,0,0,0,0,0,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.46,1555.37,2,0,0.06,0.06,5,14.29,0.1,0.06,0.4,FLYING
0.68,APPROACH,FLY_TO_FIX,264.68,141.06,-123.63,2227.64,-35.87,-4.44,2.67,89.79,0.018,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.75,0,0,1,-7.72,179.04,0,3.09,270.75,-0.9995,0.013,-0.0285,2.79,270.75,0,0,94.276,0,0,0,0,0,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.74,1560.39,2,0,0.06,0.06,9,14.29,0.08,0.06,0.68,FLYING
0.96,APPROACH,FLY_TO_FIX,265.43,141.5,-123.93,2216.53,-36.39,-7.71,-0.52,88.39,0.09,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.75,0,0,1,-7.79,177.64,0,0.69,270.75,-0.9996,0.0131,0.0235,-0.2,270.75,0,0,94.355,0,0,0,0,0,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.09,1564.8,2,0,0.06,0.06,13,14.29,0.08,0.06,0.96,FLYING
1.24,APPROACH,FLY_TO_FIX,266.18,141.95,-124.23,2204.08,-39.59,-14.11,-6.36,86.96,0.242,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.75,0,0,1,-8.38,176.21,0,-4.55,270.75,-0.9924,0.0133,0.1227,-5.91,270.75,0,0,94.434,0,0,0,0,0,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.39,1569.16,2,0,0.06,0.06,17,14.29,0.08,0.06,1.24,FLYING
1.52,APPROACH,FLY_TO_FIX,266.72,142.4,-124.32,2190.01,-46.64,-21.4,-12.31,85.86,0.543,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.75,0,0,1,-9.79,175.11,0,-10.78,270.75,-0.974,0.0133,0.2262,-11.94,270.75,0,0,94.514,0,0,0,0,0,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.39,1572.39,2,0,0.06,0.06,21,14.29,0.08,0.06,1.52,FLYING
1.8,APPROACH,FLY_TO_FIX,266.14,142.85,-123.29,2173.99,-55.98,-27.53,-16.56,85.23,0.708,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.75,0,0,1,-11.73,174.48,0,-15.54,270.75,-0.9539,0.0132,0.2998,-16.32,270.75,0,0,94.593,0,0,0,0,0,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.44,1569.52,2,0,0.06,0.06,25,14.29,0.08,0.06,1.8,FLYING
2.08,APPROACH,FLY_TO_FIX,264.43,143.3,-121.13,2155.66,-66.39,-32.06,-18.88,85.07,0.694,0.112,0,-20,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.75,0,0,1,-13.93,174.32,0,-18.4,270.75,-0.9403,0.0131,0.3402,-18.77,270.75,0,0,94.67,0,0,0,0,0,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.89,1560.58,2,0,0.06,0.06,29,14.29,0.08,0.06,2.08,FLYING
2.36,APPROACH,FLY_TO_FIX,262.23,143.74,-118.49,2134.74,-76.89,-35.22,-19.74,84.99,0.676,0.224,0,-20,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.75,0,0,1,-16.18,174.24,0,-19.6,270.75,-0.9346,0.0131,0.3554,-19.71,270.75,0,0,94.747,0,0,0,0,0,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.3,1549.12,2,0,0.06,0.06,33,14.29,0.08,0.06,2.36,FLYING
2.64,APPROACH,FLY_TO_FIX,260.07,144.19,-115.88,2111.1,-87.07,-37.71,-19.93,84.9,0.65,0.336,0,-20,1,0.6,4.5,0.75,0.35,0.0168,0.4,270.75,0,0,1,-18.36,174.15,0,-19.91,270.75,-0.9333,0.0131,0.3588,-19.93,270.75,0,0,94.822,0,0,0,0,0,90.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.96,1538.03,2,0,0.06,0.06,37,14.29,0.08,0.06,2.64,FLYING
