t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.1,APPROACH,ILS_TRACK,68.87,73,4.13,2265.87,-3.13,3.29,5.61,271.4,1.638,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.6,0,0,0,90,0,0,0,0,0,0,0,33.953,0,0,0,0,0,271.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.63,365.64,2,0,0.1,0.1,1,3.7,0.1,0.02,0.1,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.4,APPROACH,ILS_TRACK,69.61,73,3.39,2264.39,-4.5,1.5,4.58,271.52,1.818,0,0,1.014,1,0.6,1.026,0.75,0.35,0.0168,0.4,270.38,0.007,0,1,-3.62,0,0,4.83,270.38,0.9741,0.0066,-0.226,4.63,270.38,-1.11,416.29,33.93,-0.016,0,0,0,0,271.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.58,365.21,2,0,0.08,0.08,4,10,0.1,0.08,0.4,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
0.66,APPROACH,ILS_TRACK,70.25,73,2.75,2262.9,-5.81,0.62,4.57,271.45,1.599,0,0,1.782,1,0.6,1.824,0.75,0.35,0.0168,0.4,270.33,0.014,0,1,-4.65,0,0,4.45,270.35,0.9738,0.0057,-0.2275,4.55,270.33,-1,415.93,33.909,-0.066,0,0,0,0,271.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.12,364.85,2,0,0.1,0.1,7,11.54,0.1,0.06,0.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1,APPROACH,ILS_TRACK,71.07,73,1.93,2260.76,-7.28,1.27,6.2,271.16,1.211,0,0,2.54,1,0.6,2.618,0.75,0.35,0.0168,0.4,270.3,0.025,0,1,-5.8,0,0,5.55,270.32,0.9796,0.005,-0.2007,6.12,270.3,-0.84,415.29,33.881,-0.104,0,0,0,0,271.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.05,364.42,2,0,0.1,0.1,11,11.76,0.1,0.06,1,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.32,APPROACH,ILS_TRACK,71.74,73,1.26,2258.36,-7.97,1.67,7.04,270.96,1.08,0,0,3.019,1,0.6,3.186,0.75,0.35,0.0168,0.4,270.29,0.037,0,1,-6.32,0,0,6.98,270.31,0.9829,0.0048,-0.1842,7.08,270.29,-0.67,414.32,33.854,-0.114,0,0,0,0,271.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.03,364.08,2,0,0.1,0.1,15,12.5,0.1,0.06,1.32,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,72.38,73,0.62,2255.26,-8.73,0.21,6.02,270.89,0.994,0,0,3.309,1,0.6,3.592,0.75,0.35,0.0168,0.4,270.29,0.052,0,1,-6.84,0,0,6.55,270.27,0.9798,0.0049,-0.2002,6.16,270.29,-0.48,412.75,33.825,-0.108,0,0,0,0,271.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.33,363.79,2,0,0.1,0.1,19,11.76,0.1,0.06,1.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2,APPROACH,ILS_TRACK,73.06,73,-0.06,2251.78,-10.01,-1.54,5.06,270.88,0.927,0,0,3.364,1,0.6,3.882,0.75,0.35,0.0168,0.4,270.26,0.069,0,1,-7.74,0,0,5.29,270.27,0.976,0.0045,-0.2176,5.14,270.26,-0.29,410.81,33.796,-0.136,0,0,0,0,271.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.68,363.49,2,0,0.1,0.1,23,11.76,0.1,0.06,2,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.32,APPROACH,ILS_TRACK,73.71,73,-0.71,2248.31,-11.21,-1.88,5.47,270.9,0.851,0,0,3.297,1,0.6,4.088,0.75,0.35,0.0168,0.4,270.25,0.087,0,1,-8.6,0,0,5.35,270.27,0.9775,0.0042,-0.211,5.53,270.25,-0.09,408.79,33.769,-0.153,0,0,0,0,271.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.6,363.22,2,0,0.1,0.1,27,12.5,0.1,0.06,2.32,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.66,APPROACH,ILS_TRACK,74.37,73,-1.37,2244.36,-12.26,-1.58,6.42,270.95,0.947,0,0,3.232,1,0.6,4.235,0.75,0.35,0.0168,0.4,270.23,0.106,0,1,-9.33,0,0,6.11,270.23,0.9808,0.0039,-0.1951,6.46,270.23,0.13,406.39,33.739,-0.166,0,0,0,0,271.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.75,362.97,2,0,0.1,0.1,31,11.76,0.1,0.06,2.66,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
2.98,APPROACH,ILS_TRACK,74.92,73,-1.92,2240.44,-12.96,-0.92,7.48,270.98,0.778,0,0,3.167,1,0.6,4.34,0.75,0.35,0.0168,0.4,270.21,0.126,0,1,-9.79,0,0,7.14,270.22,0.9842,0.0034,-0.177,7.52,270.21,0.35,403.93,33.712,-0.194,0,0,0,0,271.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.24,362.78,2,0,0.1,0.1,35,12.5,0.1,0.06,2.98,FLYING,CF1-F,0:/Integrated Flight Computer/aircraft/cf1_f_cfg.ks (inferred preloaded)
