t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.22,APPROACH,FLY_TO_FIX,138.95,75.14,-63.8,1500.92,0.18,0.46,0.4,269.73,0.592,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,4.5,34.316,34.316,63.801,1,280.97,1.804,1,0,0.07,11.25,0,0,90,0,0,0,0,0,0,0,49.865,0,0,0,4,0,0,0,3561.22,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,337.26,2,0,0.18,0.18,1,3.45,0.18,0.02,0.24,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.52,APPROACH,FLY_TO_FIX,138.92,75.38,-63.54,1501.02,0.3,0.76,0.67,269.77,1.042,0,0,0,1,0.6,1.544,0.75,0.35,0.0168,0.4,12,34.322,34.322,63.542,1,281,1.779,0,0,0.11,11.23,0,1.81,280.99,0,0,0,0,0,0,0,49.822,0,0,0,4,0,0,0,3558.21,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.81,337.27,2,0,0.1,0.1,4,10,0.18,0.08,0.52,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.78,APPROACH,FLY_TO_FIX,138.83,75.59,-63.24,1501.15,0.51,0.88,0.71,269.93,3.333,0,0,0,1,0.6,2.407,0.75,0.35,0.0168,0.4,18.5,34.348,34.348,63.249,1,281.02,1.713,0,0,0.2,11.09,0,1.74,281.01,0,0,0,0,0,0,0,49.783,0,0,0,4,0,0,0,3555.43,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.16,337.31,2,0,0.08,0.08,7,11.54,0.1,0.08,0.78,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.06,APPROACH,FLY_TO_FIX,138.69,75.82,-62.87,1501.35,0.78,1.01,0.78,270.22,7.427,0,0,0,1,0.6,3.08,0.75,0.35,0.0168,0.4,25.5,34.39,34.39,62.883,1,281.04,1.633,0,0,0.31,10.82,0,1.66,281.03,0,0,0,0,0,0,0,49.74,0,0,0,4,0,0,0,3552.43,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.31,337.36,2,0,0.1,0.1,10,10.71,0.1,0.08,1.06,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.32,APPROACH,FLY_TO_FIX,138.53,76.02,-62.51,1501.61,1.05,1.11,0.84,270.58,12.108,0,0,0,1,0.6,3.603,0.75,0.35,0.0168,0.4,32,34.436,34.436,62.522,1,281.06,1.551,0,0,0.42,10.48,0,1.58,281.06,0,0,0,0,0,0,0,49.7,0,0,0,4,0,0,0,3549.65,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.87,337.42,2,0,0.08,0.08,13,11.54,0.1,0.08,1.32,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.6,APPROACH,FLY_TO_FIX,138.36,76.25,-62.11,1501.96,1.32,1.16,0.87,271.03,17.269,0,0,0,1,0.6,4.011,0.75,0.35,0.0168,0.4,34.49,34.49,34.49,62.12,1,281.09,1.466,0,0,0.53,10.05,0,1.5,281.08,0,0,0,0,0,0,0,49.657,0,0,0,4,0,0,0,3546.65,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.99,337.49,2,0,0.1,0.1,16,10.71,0.1,0.08,1.6,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.86,APPROACH,FLY_TO_FIX,138.16,76.46,-61.7,1502.34,1.5,1.19,0.86,271.4,20.639,0,0,0,1,0.6,4.329,0.75,0.35,0.0168,0.4,34.546,34.546,34.546,61.726,1,281.11,1.407,0,0,0.61,9.71,0,1.42,281.1,0,0,0,0,0,0,0,49.617,0,0,0,4,0,0,0,3543.88,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.12,337.56,2,0,0.08,0.08,19,11.54,0.1,0.08,1.86,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.14,APPROACH,FLY_TO_FIX,137.69,76.68,-61.01,1502.79,1.62,1.24,0.82,271.72,22.14,0,0,-12.227,1,0.6,4.5,0.75,0.35,0.0168,0.4,34.681,34.681,34.681,61.051,1,281.13,1.366,0,0,0.67,9.41,0,1.38,281.12,0,0,0,0,0,0,0,49.575,0,0,0,4,0,0,0,3540.9,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.02,337.75,2,0,0.1,0.1,22,10.71,0.1,0.08,2.14,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.4,APPROACH,FLY_TO_FIX,137.18,76.89,-60.29,1503.24,1.69,1.31,0.82,271.98,22.25,0,0,-18.129,1,0.6,4.5,0.75,0.35,0.0168,0.4,34.834,34.834,34.834,60.331,1,281.15,1.341,0,0,0.7,9.17,0,1.35,281.14,0,0,0,0,0,0,0,49.535,0,0,0,4,0,0,0,3538.14,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.51,337.97,2,0,0.08,0.08,25,11.54,0.1,0.08,2.4,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.68,APPROACH,FLY_TO_FIX,136.65,77.11,-59.54,1503.73,1.76,1.39,0.83,272.31,22.174,0,0,-17.859,1,0.6,4.5,0.862,0.35,0.0168,0.4,34.994,34.994,34.994,59.575,1,281.17,1.319,0,0,0.73,8.86,0,1.33,281.16,0,0,0,0,0,0,0,49.493,0,0,0,4,0,0,0,3535.18,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.28,338.19,2,0,0.1,0.1,28,10.71,0.1,0.08,2.68,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.94,APPROACH,FLY_TO_FIX,136.17,77.32,-58.85,1504.2,1.81,1.43,0.82,272.65,21.976,0,0,-17.592,1,0.6,4.5,0.986,0.35,0.0168,0.4,35.138,35.138,35.138,58.887,1,281.19,1.301,0,0,0.76,8.54,0,1.31,281.18,0,0,0,0,0,0,0,49.454,0,0,0,4,0,0,0,3532.44,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.63,338.39,2,0,0.08,0.08,31,11.54,0.1,0.08,2.94,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
3.22,APPROACH,FLY_TO_FIX,135.67,77.54,-58.13,1504.72,1.84,1.46,0.82,273.03,21.611,0,0,-17.33,1,0.6,4.5,1.098,0.35,0.0168,0.4,35.288,35.288,35.288,58.162,1,281.21,1.287,0,0,0.78,8.18,0,1.29,281.2,0,0,0,0,0,0,0,49.412,0,0,0,4,0,0,0,3529.51,0,0,0,269.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.26,338.6,2,0,0.1,0.1,34,10.71,0.1,0.08,3.22,FLYING,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
