t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,156.68,146,-10.68,1341.8,1261.24,-14.17,12.06,17.41,268.43,-15.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5.19,0,0,0,90,0,0,0,0,0,-107.31,-270.9,29.355,0,0,0,3,1341.8,0,0,1612.69,0,0,0,268.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.83,1052.42,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,156.64,146,-10.64,1338.15,1257.73,-13.42,11.88,16.91,268.38,-14.286,0,0,0,1,0.6,1.421,0.75,0.35,0.0168,0.4,6,20.582,10.173,10.644,1,272.12,0,0,1,-4.94,0,0,0,295,-0.1166,0.037,0.9925,0,272.12,-105.43,-272.02,29.317,2.12,0,0,3,1341.8,-5.043,0,1610.73,0,0,0,268.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.79,1052.44,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.74,APPROACH,ILS_TRACK,156.54,146,-10.54,1333.81,1253.73,-12.83,11.32,16.04,268.53,-12.339,0,0,0,1,0.6,3.154,0.75,0.35,0.0168,0.4,10.076,20.61,10.076,10.545,1,272.32,0,0,1,-4.71,0,0,0,272.25,-0.1165,0.0405,0.9924,0,272.32,-102.99,-273.53,29.262,2.318,0,0,3,1341.8,-4.463,0,1607.87,0,0,0,268.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.45,1052.25,2,0,0.08,0.08,6,9.38,0.14,0.08,0.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.1,APPROACH,ILS_TRACK,156.39,146,-10.39,1329.25,1249.67,-12.44,11.18,15.6,269.1,-6.755,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,9.933,20.651,9.933,10.398,1,272.44,0,0,1,-4.56,0,0,0,272.4,-0.1164,0.0426,0.9923,0,272.44,-100.6,-274.91,29.201,2.439,0,0,3,1341.8,-3.48,0,1604.65,0,0,0,268.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.13,1051.89,2,0,0.12,0.12,9,8.33,0.12,0.08,1.1,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.46,APPROACH,ILS_TRACK,156.15,146,-10.15,1325.14,1245.66,-12.06,12.06,16.26,269.83,-2.175,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,9.71,20.715,9.71,10.171,1,272.48,0,0,1,-4.43,0,0,0,272.47,-0.1163,0.0432,0.9923,0,272.48,-98.44,-275.87,29.14,2.477,0,0,3,1341.8,-2.233,0,1601.44,0,0,0,268.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.58,1051.15,2,0,0.12,0.12,12,8.33,0.12,0.12,1.46,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.82,APPROACH,ILS_TRACK,155.64,146,-9.64,1321.47,1241.6,-11.16,13.96,17.84,270.65,0.314,0.0462,0,-1.161,1,0.6,4.5,0.75,0.35,0.0168,0.4,9.216,20.855,9.216,9.676,1,272.44,0,0,1,-4.16,0,0,0,272.46,-0.1162,0.0425,0.9923,0,272.44,-96.39,-276.37,29.079,2.438,0,0,3,1341.8,-1.023,0,1598.24,0,0,0,268.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.24,1049.18,2,0,0.12,0.12,15,8.33,0.12,0.12,1.82,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.16,APPROACH,ILS_TRACK,154.76,146,-8.76,1318.22,1238.04,-9.72,15.09,18.43,271.36,0.817,0.1822,0,-4.262,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.716,21.098,0,8.813,1,272.36,0,0,1,-3.65,0,0,0,272.39,-0.1161,0.0412,0.9924,0,272.36,-94.47,-276.64,29.021,2.363,0,0,3,1341.8,-0.623,0,1595.23,0,0,0,268.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.77,1045.6,2,0,0.1,0.1,18,8.82,0.12,0.1,2.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.44,APPROACH,ILS_TRACK,153.96,146,-7.96,1315.69,1235.5,-8.59,15.26,18.19,271.82,0.569,0.2942,0,-6.58,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.322,0,8.017,0,272.28,0,0,1,-3.26,0,0,0,272.31,-0.116,0.0398,0.9924,0,272.28,-92.87,-276.72,28.974,2.284,0,0,3,1341.8,-0.112,0,1592.76,0,0,0,268.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.72,1042.31,2,0,0.08,0.08,21,10.71,0.1,0.08,2.44,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.8,APPROACH,ILS_TRACK,153.01,146,-7.01,1312.65,1232.63,-7.48,14.7,17.24,272.15,0.677,0.4382,0,-9.229,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.593,0,7.056,0,272.17,0,0,1,-2.83,0,0,0,272.21,-0.1159,0.0378,0.9925,0,272.17,-90.79,-276.63,28.914,2.169,0,0,3,1341.8,0.541,0,1589.61,0,0,0,268.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.14,1038.38,2,0,0.12,0.12,24,8.33,0.12,0.08,2.8,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.14,APPROACH,ILS_TRACK,152.3,146,-6.3,1310.09,1230.25,-6.78,14.16,16.47,272.13,0.247,0.3406,0,-11.46,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.796,0,6.336,0,272.06,0,0,1,-2.57,0,0,0,272.08,-0.1158,0.036,0.9926,0,272.06,-88.78,-276.26,28.857,2.064,0,0,3,1341.8,1.373,0,1586.64,0,0,0,268.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.44,1035.48,2,0,0.1,0.1,27,8.82,0.12,0.1,3.14,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
