t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,157.84,152,-5.84,1304.24,1223.65,-4.49,14.08,15.75,267.66,-8.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.66,0,0,0,90,0,0,0,0,0,-92.34,-274.28,28.703,0,0,0,3,1304.24,0,0,1578.52,0,0,0,0,0,0,0,0,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.79,1059.93,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,157.78,152,-5.78,1303.17,1222.65,-3.37,13.99,15.25,267.5,-8.589,0,0,0,1,0.6,1.432,0.75,0.35,0.0168,0.4,4.701,20.258,4.701,5.793,1,273.89,0,0,1,-1.28,0,0,0,295,0.2037,0.0678,0.9767,0,273.89,-92.49,-273.21,28.665,3.886,0,0,3,1304.24,4.917,0,1576.54,0,0,0,0,0,0,0,0,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.41,1059.74,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,157.61,152,-5.61,1302.11,1222.05,-2.55,13,13.94,267.24,-7.098,0,0,0,1,0.6,2.643,0.75,0.35,0.0168,0.4,4.518,20.308,4.518,5.615,1,274.01,0,0,1,-0.96,0,0,0,273.94,0.2038,0.0699,0.9765,0,274.01,-92.76,-271.93,28.62,4.009,0,0,3,1304.24,4.957,0,1574.2,0,0,0,0,0,0,0,0,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.08,1059,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.04,APPROACH,ILS_TRACK,157.46,152,-5.46,1300.75,1221.8,-1.92,11.02,11.53,267.46,-0.489,0,0,0,1,0.6,4.118,0.75,0.35,0.0168,0.4,4.362,20.351,4.362,5.465,1,274.23,0,0,1,-0.71,0,0,0,274.16,0.2038,0.0738,0.9762,0,274.23,-93.39,-270.06,28.558,4.232,0,0,3,1304.24,5.216,0,1570.96,0,0,0,0,0,0,0,0,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.6,1058.38,2,0,0.12,0.12,8,8.33,0.12,0.12,1.04,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.4,APPROACH,ILS_TRACK,157.46,152,-5.46,1299.48,1220.25,-2.1,8.97,9.32,268.47,8.976,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.353,20.353,4.353,5.457,1,274.33,0,0,1,-0.75,0,0,0,274.31,0.2039,0.0754,0.9761,0,274.33,-94.19,-268.1,28.496,4.325,0,0,3,1304.24,5.549,0,1567.72,0,0,0,0,0,0,0,0,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.35,1058.4,2,0,0.12,0.12,11,8.33,0.12,0.12,1.4,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.76,APPROACH,ILS_TRACK,157.54,152,-5.54,1298.31,1219,-2.74,7.84,8.52,269.73,14.22,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.44,20.33,4.44,5.54,1,274.23,0,0,1,-0.97,0,0,0,274.27,0.204,0.0738,0.9762,0,274.23,-94.88,-266.04,28.434,4.232,0,0,3,1304.24,5.811,0,1564.48,0,0,0,0,0,0,0,0,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.62,1058.79,2,0,0.12,0.12,14,8.33,0.12,0.12,1.76,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.12,APPROACH,ILS_TRACK,157.51,152,-5.51,1297.21,1218.03,-3.4,7.77,8.98,270.94,12.792,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.414,20.337,4.414,5.516,1,274.06,0,0,1,-1.21,0,0,0,274.12,0.2042,0.0707,0.9764,0,274.06,-95.33,-263.91,28.373,4.057,0,0,3,1304.24,5.975,0,1561.23,0,0,0,0,0,0,0,0,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.67,1058.72,2,0,0.12,0.12,17,8.33,0.12,0.12,2.12,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.48,APPROACH,ILS_TRACK,157.31,152,-5.31,1296.19,1216.72,-3.78,8.69,10.23,272,12.77,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.216,20.39,4.216,5.325,1,273.87,0,0,1,-1.37,0,0,0,273.94,0.2043,0.0674,0.9766,0,273.87,-95.5,-261.7,28.311,3.866,0,0,3,1304.24,6.247,0,1558,0,0,0,0,0,0,0,0,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.04,1057.93,2,0,0.12,0.12,20,8.33,0.12,0.12,2.48,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.84,APPROACH,ILS_TRACK,156.85,152,-4.85,1295.28,1215.61,-3.71,10.19,11.78,272.73,10.456,0,0,-0.586,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.751,20.515,3.751,4.883,1,273.63,0,0,1,-1.37,0,0,0,273.72,0.2045,0.0632,0.9768,0,273.63,-95.35,-259.39,28.249,3.625,0,0,3,1304.24,6.503,0,1554.77,0,0,0,0,0,0,0,0,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.3,1056.03,2,0,0.12,0.12,23,8.33,0.12,0.12,2.84,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.16,APPROACH,ILS_TRACK,156.17,152,-4.17,1294.47,1214.78,-3.06,11.27,12.52,272.73,7.18,0.128,0,-2.013,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,20.702,0,4.219,0,273.39,0,0,1,-1.15,0,0,0,273.46,0.2046,0.0592,0.9771,0,273.39,-94.92,-257.33,28.195,3.391,0,0,3,1304.24,6.326,0,1551.91,0,0,0,0,0,0,0,0,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.49,1053.15,2,0,0.1,0.1,26,9.38,0.12,0.1,3.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
