t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,155.1,152,-3.1,669.44,589.35,-21.42,8.02,15.54,269.95,-0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-7.88,0,0,0,90,0,0,0,0,0,-0.02,-20.74,11.752,0,0,0,3,669.44,0,0,690.18,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.09,1092.09,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,155.19,152,-3.19,664.12,583.86,-20.76,8.61,15.92,269.93,-0.198,0,0,0,1,0.6,1.485,0.75,0.35,0.0168,0.4,1.925,20.99,1.925,3.197,1,270,0,0,1,-7.66,0,0,0,270.04,0.4334,0.0001,0.9012,0,270,-0.02,-23.37,11.716,0.004,16.607,1,3,669.44,-11.997,0,688.31,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.76,1092.94,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,155.14,152,-3.14,658.74,578.55,-20.09,8.51,15.53,269.94,-0.159,0,0,0,1,0.6,2.743,0.75,0.35,0.0168,0.4,1.867,21.005,1.867,3.144,1,270.01,0,0,1,-7.42,0,0,0,270.01,0.4335,0.0002,0.9011,0,270.01,-0.03,-26.52,11.674,0.012,17.709,1,3,669.44,-12.191,0,686.09,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.22,1093.09,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.94,APPROACH,ILS_TRACK,154.97,152,-2.97,653.22,573.45,-19.53,7.32,14.06,269.95,-0.13,0,0,0,1,0.6,3.807,0.75,0.35,0.0168,0.4,1.684,21.051,1.684,2.98,1,270.01,0,0,1,-7.2,0,0,0,270.01,0.4336,0.0002,0.9011,0,270.01,-0.04,-29.81,11.632,0.013,19.202,1,3,669.44,-12.824,0,683.88,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.38,1092.76,2,0,0.12,0.12,7,7.69,0.14,0.12,0.94,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.3,APPROACH,ILS_TRACK,155.09,152,-3.09,645.54,566.44,-19.81,5.1,11.94,269.97,-0.046,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.788,21.025,1.788,3.073,1,270.02,0,0,1,-7.26,0,0,0,270.01,0.4337,0.0003,0.9011,0,270.02,-0.06,-34.44,11.573,0.017,20.539,1,3,669.44,-12.758,0,680.82,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.2,1093.78,2,0,0.12,0.12,10,8.33,0.12,0.12,1.3,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,155.36,152,-3.36,638.04,559.19,-20.56,4.14,11.33,269.98,-0.023,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.088,20.949,2.088,3.344,1,270.02,0,0,1,-7.51,0,0,0,270.02,0.4337,0.0003,0.901,0,270.02,-0.08,-38.9,11.515,0.017,21.42,1,3,669.44,-12.187,0,677.76,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.87,1095.49,2,0,0.12,0.12,13,8.33,0.12,0.12,1.66,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.02,APPROACH,ILS_TRACK,155.54,152,-3.54,630.78,551.63,-21.21,4.9,12.42,269.98,-0.009,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.297,20.895,2.297,3.534,1,270.02,0,0,1,-7.75,0,0,0,270.01,0.4338,0.0003,0.901,0,270.02,-0.1,-43.13,11.456,0.018,22.131,1,3,669.44,-11.492,0,674.7,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.89,1096.86,2,0,0.12,0.12,16,8.33,0.12,0.12,2.02,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.38,APPROACH,ILS_TRACK,155.48,152,-3.48,623.79,543.92,-21.23,7.1,14.71,269.98,-0.005,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.251,20.907,2.251,3.492,1,270.02,0,0,1,-7.79,0,0,0,270.02,0.4339,0.0003,0.9009,0,270.02,-0.11,-47.08,11.398,0.016,22.72,1,3,669.44,-10.744,0,671.64,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.91,1097.24,2,0,0.12,0.12,19,8.33,0.12,0.12,2.38,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.73,APPROACH,ILS_TRACK,155.04,152,-3.04,617.17,536.58,-20.21,9.49,16.78,269.98,-0.004,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.797,21.023,1.797,3.081,1,270.02,0,0,1,-7.5,0,0,0,270.02,0.434,0.0003,0.9009,0,270.02,-0.13,-50.62,11.343,0.017,23.439,1,3,669.44,-10.315,0,668.74,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.99,1095.94,2,0,0.101,0.101,22,8.54,0.12,0.101,2.73,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.03,APPROACH,ILS_TRACK,154.39,152,-2.39,611.59,530.83,-19.03,10.26,17.06,269.98,-0.018,0.1113,0,-0.734,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.194,0,2.473,0,270.02,0,0,1,-7.1,0,0,0,270.01,0.4341,0.0003,0.9009,0,270.02,-0.14,-53.55,11.298,0.019,24.527,1,3,669.44,-10.577,0,666.39,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.92,1093.6,2,0,0.152,0.152,24,6.81,0.152,0.101,3.03,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.38,APPROACH,ILS_TRACK,153.56,152,-1.56,605.15,524.35,-18.13,10.36,16.87,269.99,0.032,0.2497,0,-1.372,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.429,0,1.638,0,270.02,0,0,1,-6.78,0,0,0,270.02,0.4342,0.0003,0.9008,0,270.02,-0.16,-57.08,11.242,0.017,25.083,1,3,669.44,-9.951,0,663.48,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.76,1090.54,2,0,0.175,0.175,26,5.71,0.175,0.152,3.38,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.73,APPROACH,ILS_TRACK,152.73,152,-0.73,599.1,518.13,-17.41,10.81,17.14,270,0.069,0.3897,0,-1.729,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.662,0,0.813,0,270.02,0,0,1,-6.55,0,0,0,270.02,0.4342,0.0003,0.9008,0,270.02,-0.17,-60.27,11.187,0.016,25.185,1,3,669.44,-8.88,0,660.55,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.76,1087.52,2,0,0.175,0.175,28,5.71,0.175,0.175,3.73,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
4.08,APPROACH,ILS_TRACK,151.87,152,0.13,593.39,512.17,-16.56,11.64,17.73,270.01,0.083,0.5297,0,-1.79,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.903,0,-0.042,0,270.02,0,0,1,-6.31,0,0,0,270.02,0.4343,0.0003,0.9008,0,270.02,-0.19,-63.13,11.131,0.017,25.28,1,3,669.44,-7.927,0,657.64,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.09,1084.35,2,0,0.175,0.175,30,5.71,0.175,0.175,4.08,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
4.43,APPROACH,ILS_TRACK,150.93,152,1.07,587.89,506.64,-15.23,11.92,17.46,270,0.034,0.6697,0,-1.531,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.167,0,-0.979,0,270.01,0,0,1,-5.84,0,0,0,270.01,0.4344,0.0002,0.9007,0,270.01,-0.19,-65.77,11.076,0.013,25.676,1,3,669.44,-7.432,0,654.74,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.96,1080.83,2,0,0.175,0.175,32,5.71,0.175,0.175,4.43,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
4.78,APPROACH,ILS_TRACK,150.13,152,1.87,582.7,501.49,-14.33,11.78,17.01,270,0.027,0.8097,0,-0.966,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.399,0,-1.804,0,270.01,0,0,1,-5.51,0,0,0,270.01,0.4345,0.0002,0.9007,0,270.01,-0.2,-68.14,11.021,0.009,25.679,1,3,669.44,-6.547,0,651.85,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.84,1077.87,2,0,0.175,0.175,34,5.71,0.175,0.175,4.78,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
5.13,APPROACH,ILS_TRACK,149.52,152,2.48,577.78,496.64,-13.56,11.56,16.51,270,0.019,0.9075,0,-0.167,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.575,0,-2.428,0,270.01,0,0,1,-5.22,0,0,0,270.01,0.4346,0.0002,0.9006,0,270.01,-0.2,-70.24,10.966,0.011,25.716,1,3,669.44,-5.806,0,648.98,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.23,1075.72,2,0,0.175,0.175,36,5.71,0.175,0.175,5.13,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
5.48,APPROACH,ILS_TRACK,149.11,152,2.89,573.13,492.05,-12.86,11.35,16.06,270,0.017,0.8416,0,0.8,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.697,0,-2.861,0,270.01,0,0,1,-4.97,0,0,0,270.01,0.4347,0.0002,0.9006,0,270.01,-0.2,-72.07,10.911,0.011,25.698,1,3,669.44,-5.094,0,646.11,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.01,1074.36,2,0,0.175,0.175,38,5.71,0.175,0.175,5.48,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
5.83,APPROACH,ILS_TRACK,148.87,152,3.13,568.77,487.65,-12.21,11.44,15.96,270,0.029,0.7381,0,1.87,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.767,0,-3.108,0,270.01,0,0,1,-4.76,0,0,0,270.01,0.4347,0.0001,0.9006,0,270.01,-0.21,-73.62,10.856,0.008,25.455,1,3,669.44,-4.209,0,643.25,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.66,1073.74,2,0,0.175,0.175,40,5.71,0.175,0.175,5.83,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
6.18,APPROACH,ILS_TRACK,148.74,152,3.26,564.61,483.5,-11.63,11.41,15.7,270,0.029,0.6404,0,2.997,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.806,0,-3.248,0,270.01,0,0,1,-4.51,0,0,0,270.01,0.4348,0.0002,0.9005,0,270.01,-0.21,-74.97,10.802,0.01,25.43,1,3,669.44,-3.674,0,640.39,0,0,0,,0,0,0,0,0,0,269.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.29,1073.53,2,0,0.175,0.175,42,5.71,0.175,0.175,6.18,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
