t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,155.17,152,-3.17,667.87,592.99,-21.36,6.9,14.39,270.01,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-7.85,0,0,0,90,0,0,0,0,0,-0.01,-21.8,11.742,0,0,0,3,667.87,0,0,689.67,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.14,1092.48,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,155.41,152,-3.41,662.35,587.48,-21.03,6.93,14.28,270.03,0.047,0,0,0,1,0.6,1.486,0.75,0.35,0.0168,0.4,2.149,20.933,2.149,3.399,1,270,0,0,1,-7.73,0,0,0,270.02,0.5857,0,0.8105,0,270,-0.01,-24.59,11.706,-0.003,17.563,1,3,667.87,-12.731,0,687.8,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.94,1093.95,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,155.47,152,-3.47,656.65,582.11,-20.53,6.1,13.18,270.01,0.03,0,0,0,1,0.6,2.746,0.75,0.35,0.0168,0.4,2.232,20.912,2.232,3.475,1,269.99,0,0,1,-7.55,0,0,0,270,0.5857,-0.0002,0.8105,0,269.99,0,-28.03,11.664,-0.009,19.193,1,3,667.87,-13.479,0,685.58,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.49,1094.61,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.94,APPROACH,ILS_TRACK,155.58,152,-3.58,650.75,576.82,-20.67,4.21,11.28,270.01,0.013,0,0,0,1,0.6,3.812,0.75,0.35,0.0168,0.4,2.322,20.889,2.322,3.556,1,269.99,0,0,1,-7.55,0,0,0,269.99,0.5858,-0.0001,0.8105,0,269.99,0.01,-31.7,11.622,-0.007,20.907,1,3,667.87,-14.246,0,683.37,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.82,1095.44,2,0,0.12,0.12,7,7.69,0.14,0.12,0.94,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.3,APPROACH,ILS_TRACK,156.07,152,-4.07,642.38,569.34,-21.32,1.44,8.7,270.01,0.01,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.851,20.752,2.851,4.042,1,269.99,0,0,1,-7.75,0,0,0,270,0.5859,-0.0001,0.8104,0,269.99,0.01,-36.96,11.563,-0.007,23.046,1,3,667.87,-14.946,0,680.29,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.86,1098.12,2,0,0.12,0.12,10,8.33,0.12,0.12,1.3,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,156.73,152,-4.73,633.53,561.33,-22.75,-1.82,5.89,270.01,0.017,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.541,20.571,3.541,4.685,1,269.99,0,0,1,-8.19,0,0,0,269.99,0.5859,-0.0001,0.8103,0,269.99,0.02,-42.68,11.504,-0.007,25.831,1,3,667.87,-16.283,0,677.21,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.67,1101.5,2,0,0.12,0.12,13,8.33,0.12,0.12,1.66,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.02,APPROACH,ILS_TRACK,157.48,152,-5.48,624.4,552.64,-25.01,-3.81,4.76,270.01,0.013,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.338,20.357,4.338,5.443,1,269.99,0,0,1,-8.94,0,0,0,269.99,0.586,-0.0001,0.8103,0,269.99,0.03,-48.7,11.445,-0.006,28.116,1,3,667.87,-16.884,0,674.12,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.9,1105.42,2,0,0.12,0.12,16,8.33,0.12,0.12,2.02,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.38,APPROACH,ILS_TRACK,158.17,152,-6.17,615.11,543.23,-27.19,-3.59,5.85,270.01,0.007,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,5.052,20.162,5.052,6.135,1,269.99,0,0,1,-9.68,0,0,0,269.99,0.5861,-0.0001,0.8102,0,269.99,0.04,-54.88,11.386,-0.008,30.301,1,3,667.87,-17.297,0,671.03,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.16,1109.14,2,0,0.12,0.12,19,8.33,0.12,0.12,2.38,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.74,APPROACH,ILS_TRACK,158.71,152,-6.71,605.75,533.25,-28.72,-1.23,8.84,270.01,-0.002,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,5.613,20.005,5.613,6.691,1,269.99,0,0,1,-10.22,0,0,0,269.99,0.5862,-0.0001,0.8102,0,269.99,0.05,-61.14,11.327,-0.005,32.247,1,3,667.87,-17.382,0,667.93,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.2,1112.34,2,0,0.12,0.12,22,8.33,0.12,0.12,2.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.1,APPROACH,ILS_TRACK,158.94,152,-6.94,596.48,522.79,-28.94,2.7,12.92,270,-0.012,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,5.863,19.935,5.863,6.941,1,269.99,0,0,1,-10.34,0,0,0,269.99,0.5863,-0.0002,0.8101,0,269.99,0.05,-67.32,11.268,-0.009,33.878,1,3,667.87,-17.103,0,664.83,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.75,1114.2,2,0,0.12,0.12,25,8.33,0.12,0.12,3.1,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
