t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,154.19,152,-2.19,743.98,666.15,-12.43,10.32,14.68,269.81,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.62,0,0,0,90,0,0,0,0,0,7.18,-487.68,22.084,0,0,0,3,743.98,0,0,1231.66,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.6,1080.69,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,154.35,152,-2.35,740.84,663,-12.04,10.5,14.73,269.8,0.204,0,0,0,1,0.6,1.46,0.75,0.35,0.0168,0.4,0.961,21.232,0.961,2.337,1,269.91,0,0,1,-4.48,0,0,0,254.92,0.5001,-0.0015,0.866,0,269.91,7.01,-488.45,22.048,-0.089,0,0,3,743.98,-3.513,0,1229.78,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.78,1081.61,2,0,0.12,0.12,3,7.69,0.14,0.12,0.44,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,154.38,152,-2.38,737.64,659.91,-11.54,10.16,14.14,269.72,-0.308,0,0,0,1,0.6,2.697,0.75,0.35,0.0168,0.4,1.014,21.219,1.014,2.384,1,269.9,0,0,1,-4.3,0,0,0,269.91,0.5002,-0.0017,0.8659,0,269.9,6.82,-489.41,22.006,-0.1,0,0,3,743.98,-3.831,0,1227.55,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.07,1081.99,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.94,APPROACH,ILS_TRACK,154.3,152,-2.3,734.19,656.97,-11.24,8.57,12.33,269.67,-0.223,0,0,0,1,0.6,3.744,0.75,0.35,0.0168,0.4,0.92,21.242,0.92,2.301,1,269.93,0,0,1,-4.16,0,0,0,269.91,0.5002,-0.0012,0.8659,0,269.93,6.63,-490.6,21.963,-0.068,0,0,3,743.98,-4.884,0,1225.33,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.3,1081.84,2,0,0.12,0.12,7,7.69,0.14,0.12,0.94,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.3,APPROACH,ILS_TRACK,154.56,152,-2.56,729.25,652.81,-11.78,5.8,9.76,269.72,0.073,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.185,21.176,1.185,2.535,1,269.95,0,0,1,-4.34,0,0,0,269.95,0.5003,-0.0009,0.8659,0,269.95,6.33,-492.44,21.904,-0.049,0,0,3,743.98,-5.127,0,1222.25,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.54,1083.2,2,0,0.12,0.12,10,8.33,0.12,0.12,1.3,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,154.99,152,-2.99,724.06,648.36,-12.92,3.12,7.47,269.71,-0.12,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.666,21.056,1.666,2.964,1,269.95,0,0,1,-4.7,0,0,0,269.95,0.5004,-0.0008,0.8658,0,269.95,6.05,-494.52,21.846,-0.047,0,0,3,743.98,-5.999,0,1219.16,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.07,1085.37,2,0,0.12,0.12,13,8.33,0.12,0.12,1.66,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.02,APPROACH,ILS_TRACK,155.49,152,-3.49,718.79,643.38,-14.64,1.86,6.92,269.7,-0.119,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.225,20.913,2.225,3.469,1,269.96,0,0,1,-5.31,0,0,0,269.96,0.5005,-0.0006,0.8658,0,269.96,5.77,-496.7,21.787,-0.036,0,0,3,743.98,-6.05,0,1216.07,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.4,1087.88,2,0,0.12,0.12,16,8.33,0.12,0.12,2.02,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.38,APPROACH,ILS_TRACK,155.89,152,-3.89,713.57,637.82,-16.16,2.84,8.55,269.71,-0.011,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.67,20.799,2.67,3.875,1,269.99,0,0,1,-5.87,0,0,0,269.98,0.5006,-0.0002,0.8657,0,269.99,5.48,-498.83,21.727,-0.014,0,0,3,743.98,-5.82,0,1212.98,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.1,1090.03,2,0,0.12,0.12,19,8.33,0.12,0.12,2.38,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.74,APPROACH,ILS_TRACK,156.06,152,-4.06,708.49,631.86,-16.75,5.78,11.77,269.74,0.113,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.865,20.748,2.865,4.055,1,269.99,0,0,1,-6.12,0,0,0,270,0.5006,-0.0002,0.8657,0,269.99,5.19,-500.83,21.668,-0.01,0,0,3,743.98,-5.495,0,1209.88,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.84,1091.23,2,0,0.12,0.12,22,8.33,0.12,0.12,2.74,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
3.1,APPROACH,ILS_TRACK,155.84,152,-3.84,703.37,625.91,-16.3,8.74,14.57,269.78,0.291,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.655,20.803,2.655,3.861,1,270.01,0,0,1,-5.99,0,0,0,270,0.5007,0.0001,0.8656,0,270.01,4.89,-502.85,21.609,0.008,0,0,3,743.98,-5.65,0,1206.78,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.33,1090.78,2,0,0.12,0.12,25,8.33,0.12,0.12,3.1,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
