t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,154.37,152,-2.37,741.67,662.74,-12.4,10.68,15.03,269.82,0.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.61,0,0,0,90,0,0,0,0,0,7.05,-488.38,22.058,0,0,0,3,741.67,0,0,1230.29,0,0,0,,0,0,0,0,0,0,0,0,662.74,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.99,1081.69,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.46,APPROACH,ILS_TRACK,154.47,152,-2.47,738.07,659.15,-11.74,10.84,14.93,269.8,0.127,0,0,0,1,0.6,2.106,0.75,0.35,0.0168,0.4,1.117,21.193,1.117,2.475,1,269.91,0,0,1,-4.38,0,0,0,269.93,1,-0.0015,0.004,0,269.91,6.84,-489.34,22.012,-0.086,0,0,3,741.67,-3.536,0,1227.89,0,0,0,,0,0,0,0,0,0,0,0,659.15,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.28,1082.38,2,0,0.08,0.08,4,10,0.14,0.08,0.46,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.76,APPROACH,ILS_TRACK,154.35,152,-2.35,734.19,655.73,-11.11,9.49,13.22,269.75,0.04,0,0,0,1,0.6,3.746,0.75,0.35,0.0168,0.4,0.986,21.226,0.986,2.359,1,269.92,0,0,1,-4.13,0,0,0,269.92,1,-0.0014,0.0039,0,269.92,6.62,-490.59,21.963,-0.079,0,0,3,741.67,-4.671,0,1225.33,0,0,0,,0,0,0,0,0,0,0,0,655.73,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.29,1082.09,2,0,0.08,0.08,7,10,0.12,0.08,0.76,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.12,APPROACH,ILS_TRACK,154.51,152,-2.51,729.3,651.65,-11.42,6.54,10.36,269.76,0.187,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.134,21.189,1.134,2.49,1,269.94,0,0,1,-4.21,0,0,0,269.93,1,-0.0011,0.0038,0,269.94,6.34,-492.4,21.904,-0.064,0,0,3,741.67,-5.026,0,1222.25,0,0,0,,0,0,0,0,0,0,0,0,651.65,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.68,1083.03,2,0,0.12,0.12,10,8.33,0.12,0.08,1.12,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.46,APPROACH,ILS_TRACK,154.91,152,-2.91,724.49,647.62,-12.33,3.79,7.92,269.75,-0.001,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.573,21.079,1.573,2.88,1,269.94,0,0,1,-4.5,0,0,0,269.93,1,-0.001,0.0037,0,269.94,6.09,-494.27,21.849,-0.059,0,0,3,741.67,-5.718,0,1219.33,0,0,0,,0,0,0,0,0,0,0,0,647.62,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.96,1085,2,0,0.1,0.1,13,8.82,0.12,0.1,1.46,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.74,APPROACH,ILS_TRACK,155.32,152,-3.32,720.43,643.96,-13.62,2.21,6.84,269.72,-0.121,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.033,20.963,2.033,3.294,1,269.96,0,0,1,-4.94,0,0,0,269.94,1,-0.0007,0.0037,0,269.96,5.88,-495.91,21.803,-0.038,0,0,3,741.67,-5.9,0,1216.93,0,0,0,,0,0,0,0,0,0,0,0,643.96,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.49,1087.03,2,0,0.08,0.08,16,10.71,0.1,0.08,1.74,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.04,APPROACH,ILS_TRACK,155.73,152,-3.73,716.1,639.64,-15.06,1.95,7.19,269.72,-0.083,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.483,20.847,2.483,3.704,1,269.97,0,0,1,-5.46,0,0,0,269.96,1,-0.0004,0.0036,0,269.97,5.66,-497.67,21.754,-0.026,0,0,3,741.67,-5.803,0,1214.35,0,0,0,,0,0,0,0,0,0,0,0,639.64,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.54,1089.1,2,0,0.08,0.08,19,10,0.12,0.08,2.04,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.34,APPROACH,ILS_TRACK,156.03,152,-4.03,711.84,634.94,-16.21,3.3,9.05,269.72,-0.069,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.82,20.76,2.82,4.013,1,269.98,0,0,1,-5.89,0,0,0,269.97,1,-0.0004,0.0035,0,269.98,5.43,-499.36,21.704,-0.024,0,0,3,741.67,-5.504,0,1211.77,0,0,0,,0,0,0,0,0,0,0,0,634.94,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.2,1090.76,2,0,0.08,0.08,22,10,0.12,0.08,2.34,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.64,APPROACH,ILS_TRACK,156.16,152,-4.16,707.66,630.02,-16.56,5.87,11.79,269.73,0.015,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.974,20.72,2.974,4.155,1,269.97,0,0,1,-6.06,0,0,0,269.98,1,-0.0005,0.0034,0,269.97,5.2,-500.96,21.655,-0.031,0,0,3,741.67,-5.337,0,1209.18,0,0,0,,0,0,0,0,0,0,0,0,630.02,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.3,1091.73,2,0,0.08,0.08,25,10,0.12,0.08,2.64,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.94,APPROACH,ILS_TRACK,156,152,-4,703.4,625.12,-16.17,8.21,13.97,269.76,0.143,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,2.83,20.757,2.83,4.022,1,269.99,0,0,1,-5.94,0,0,0,269.98,1,-0.0002,0.0033,0,269.99,4.97,-502.63,21.606,-0.013,0,0,3,741.67,-5.68,0,1206.6,0,0,0,,0,0,0,0,0,0,0,0,625.12,0,0,0,0,0,0,0,0,0,269.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.65,1091.47,2,0,0.08,0.08,28,10,0.12,0.08,2.94,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
