t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_auth_reason,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_theta_cmd_raw,flare_theta_cmd_clamped,flare_theta_clamp_active,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,153.92,152,-1.92,727.27,647.04,-8.25,15.42,18.35,269.93,0.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.1,0,0,0,90,0,0,0,0,0,5.91,-489.88,21.81,0,0,0,3,727.27,0,0,1217.3,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,647.04,0,0,0,0,0,0,0,0,0,269.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.69,1081.01,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.46,APPROACH,ILS_TRACK,153.37,152,-1.37,725.1,644.82,-6.73,15.76,18.14,269.88,0.302,0.072,0,-0.272,1,0.6,2.101,0.765,0.35,0.0168,0.4,0,21.492,0,1.414,0,269.93,0,0,1,-2.59,0,0,0,269.92,0.8531,-0.0012,-0.5217,0,269.93,5.74,-489.53,21.764,-0.068,0,0,3,727.27,1.297,0,1214.92,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,644.82,0,0,0,0,0,0,0,0,0,269.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.1,1078.82,2,0,0.08,0.08,4,10,0.14,0.08,0.46,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.76,APPROACH,ILS_TRACK,152.59,152,-0.59,722.83,643.02,-5.4,14.32,16.09,269.85,0.202,0.192,0,-0.541,1,0.6,3.731,0.79,0.35,0.0168,0.4,0,21.712,0,0.635,0,269.93,0,0,1,-2.07,0,0,0,269.93,0.8531,-0.0012,-0.5218,0,269.93,5.55,-489.24,21.716,-0.07,0,0,3,727.27,0.749,0,1212.37,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,643.02,0,0,0,0,0,0,0,0,0,269.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.61,1075.62,2,0,0.08,0.08,7,10,0.12,0.08,0.76,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.1,APPROACH,ILS_TRACK,152.18,152,-0.18,720.22,641.28,-4.86,11.24,12.76,269.79,0.046,0.328,0,-0.639,1,0.6,4.5,0.79,0.35,0.0168,0.4,0,21.839,0,0.185,0,269.95,0,0,1,-1.83,0,0,0,269.92,0.853,-0.0009,-0.5219,0,269.95,5.34,-488.98,21.661,-0.049,0,0,3,727.27,0.754,0,1209.5,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,641.28,0,0,0,0,0,0,0,0,0,269.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.79,1073.96,2,0,0.1,0.1,10,8.82,0.12,0.08,1.1,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.38,APPROACH,ILS_TRACK,152.22,152,-0.22,718.16,639.86,-5.21,8.83,10.53,269.79,0.08,0.2808,0,-0.69,1,0.6,4.5,0.79,0.35,0.0168,0.4,0,21.831,0,0.212,0,269.95,0,0,1,-1.93,0,0,0,269.95,0.853,-0.0008,-0.522,0,269.95,5.17,-488.69,21.616,-0.047,0,0,3,727.27,1.197,0,1207.14,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,639.86,0,0,0,0,0,0,0,0,0,269.92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.71,1074.23,2,0,0.1,0.1,13,10.71,0.1,0.08,1.38,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.68,APPROACH,ILS_TRACK,152.46,152,-0.46,716.15,638.15,-5.98,7.5,9.56,269.8,0.137,0.1608,0,-0.758,1,0.6,4.5,0.79,0.35,0.0168,0.4,0,21.767,0,0.439,0,269.95,0,0,1,-2.21,0,0,0,269.96,0.8529,-0.0009,-0.522,0,269.95,4.99,-488.19,21.568,-0.054,0,0,3,727.27,1.907,0,1204.6,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,638.15,0,0,0,0,0,0,0,0,0,269.92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.95,1075.33,2,0,0.08,0.08,16,10,0.12,0.08,1.68,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.02,APPROACH,ILS_TRACK,152.78,152,-0.78,713.99,636,-6.67,7.35,9.71,269.81,0.183,0.0248,0,-0.746,1,0.6,4.5,0.758,0.35,0.0168,0.4,0,21.677,0,0.76,0,269.96,0,0,1,-2.47,0,0,0,269.96,0.8529,-0.0007,-0.5221,0,269.96,4.78,-487.48,21.513,-0.041,0,0,3,727.27,2.144,0,1201.72,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,269.92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,1076.85,2,0,0.1,0.1,19,8.82,0.12,0.08,2.02,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.3,APPROACH,ILS_TRACK,152.96,152,-0.96,712.33,634.05,-7.2,8.2,10.84,269.83,0.265,0,0,-0.735,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.622,0,0.955,0,269.98,0,0,1,-2.67,0,0,0,269.96,0.8528,-0.0004,-0.5222,0,269.98,4.6,-486.79,21.467,-0.021,0,0,3,727.27,2.686,0,1199.35,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,634.05,0,0,0,0,0,0,0,0,0,269.92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.67,1077.8,2,0,0.08,0.08,22,10.71,0.1,0.08,2.3,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.6,APPROACH,ILS_TRACK,152.95,152,-0.95,710.76,631.87,-7.24,10.27,12.99,269.87,0.379,0,0,-0.724,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.621,0,0.958,0,269.96,0,0,1,-2.73,0,0,0,269.97,0.8528,-0.0007,-0.5222,0,269.96,4.43,-485.84,21.419,-0.038,0,0,3,727.27,3.392,0,1196.8,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,631.87,0,0,0,0,0,0,0,0,0,269.92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.44,1077.94,2,0,0.08,0.08,25,10,0.12,0.08,2.6,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.9,APPROACH,ILS_TRACK,152.64,152,-0.64,709.27,629.79,-6.61,12.43,14.91,269.92,0.498,0.032,0,-0.771,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.702,0,0.671,0,269.96,0,0,1,-2.52,0,0,0,269.98,0.8528,-0.0007,-0.5223,0,269.96,4.25,-484.79,21.37,-0.04,0,0,3,727.27,3.498,0,1194.26,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,629.79,0,0,0,0,0,0,0,0,0,269.92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.22,1076.81,2,0,0.08,0.08,28,10,0.12,0.08,2.9,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
