t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_auth_reason,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_theta_cmd_raw,flare_theta_cmd_clamped,flare_theta_clamp_active,flare_aoa_clamp_active,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,154.25,152,-2.25,742.87,663.94,-12.29,10.69,15,269.81,0.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.57,0,0,0,90,0,0,0,0,0,7.12,-487.87,22.071,0,0,0,3,742.87,0,0,1230.97,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,663.94,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.76,1081.05,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.46,APPROACH,ILS_TRACK,154.36,152,-2.36,739.35,660.38,-11.68,10.97,15.07,269.79,0.051,0,0,0,1,0.6,2.105,0.75,0.35,0.0168,0.4,0.98,21.228,0.98,2.354,1,269.9,0,0,1,-4.36,0,0,0,269.92,0.6536,-0.0017,-0.7568,0,269.9,6.91,-488.76,22.025,-0.096,0,0,3,742.87,-3.217,0,1228.58,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,660.38,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.08,1081.79,2,0,0.08,0.08,4,10,0.14,0.08,0.46,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
0.76,APPROACH,ILS_TRACK,154.28,152,-2.28,735.69,656.96,-11,10.27,14.03,269.71,-0.184,0,0,0,1,0.6,3.744,0.75,0.35,0.0168,0.4,0.909,21.245,0.909,2.292,1,269.92,0,0,1,-4.11,0,0,0,269.91,0.6536,-0.0014,-0.7569,0,269.92,6.69,-489.82,21.976,-0.081,0,0,3,742.87,-3.849,0,1226.01,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,656.96,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.17,1081.71,2,0,0.08,0.08,7,10,0.12,0.08,0.76,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.12,APPROACH,ILS_TRACK,154.27,152,-2.27,731,653.01,-11.06,7.7,11.42,269.72,0.098,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.865,21.256,0.865,2.252,1,269.95,0,0,1,-4.08,0,0,0,269.93,0.6535,-0.0009,-0.7569,0,269.95,6.41,-491.42,21.918,-0.052,0,0,3,742.87,-4.506,0,1222.94,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,653.01,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.42,1081.9,2,0,0.12,0.12,10,8.33,0.12,0.08,1.12,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.46,APPROACH,ILS_TRACK,154.56,152,-2.56,726.6,649.13,-11.79,5.74,9.76,269.74,0.055,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.188,21.176,1.188,2.538,1,269.95,0,0,1,-4.32,0,0,0,269.94,0.6534,-0.0009,-0.757,0,269.95,6.14,-492.92,21.862,-0.052,0,0,3,742.87,-4.367,0,1220.03,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,649.13,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.66,1083.41,2,0,0.1,0.1,13,8.82,0.12,0.1,1.46,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
1.74,APPROACH,ILS_TRACK,154.81,152,-2.81,723.07,645.7,-12.66,5.23,9.64,269.72,-0.062,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.478,21.103,1.478,2.796,1,269.96,0,0,1,-4.63,0,0,0,269.95,0.6534,-0.0007,-0.757,0,269.96,5.93,-494.06,21.816,-0.041,0,0,3,742.87,-3.921,0,1217.63,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,645.7,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.11,1084.76,2,0,0.08,0.08,16,10.71,0.1,0.08,1.74,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.04,APPROACH,ILS_TRACK,154.99,152,-2.99,719.47,641.77,-13.45,6.16,10.96,269.7,-0.136,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.686,21.051,1.686,2.982,1,269.96,0,0,1,-4.93,0,0,0,269.96,0.6533,-0.0006,-0.7571,0,269.96,5.7,-495.12,21.767,-0.035,0,0,3,742.87,-3.27,0,1215.06,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,641.77,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.06,1085.83,2,0,0.08,0.08,19,10,0.12,0.08,2.04,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.34,APPROACH,ILS_TRACK,154.98,152,-2.98,716.04,637.72,-13.48,8.33,13.19,269.69,-0.161,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.693,21.049,1.693,2.988,1,269.97,0,0,1,-4.99,0,0,0,269.97,0.6533,-0.0006,-0.7571,0,269.97,5.47,-495.99,21.718,-0.032,0,0,3,742.87,-2.852,0,1212.49,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,637.72,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.6,1086.12,2,0,0.08,0.08,22,10,0.12,0.08,2.34,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.64,APPROACH,ILS_TRACK,154.69,152,-2.69,712.57,633.77,-13.07,10.14,14.84,269.71,0.011,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,1.392,21.125,1.392,2.719,1,269.99,0,0,1,-4.85,0,0,0,269.98,0.6532,-0.0002,-0.7572,0,269.99,5.23,-496.9,21.669,-0.011,0,0,3,742.87,-2.963,0,1209.92,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,633.77,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.54,1085.23,2,0,0.08,0.08,25,10,0.12,0.08,2.64,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.94,APPROACH,ILS_TRACK,154.18,152,-2.18,709.27,629.94,-12.32,11.95,16.41,269.77,0.283,0.0738,0,-0.723,1,0.6,4.5,0.75,0.35,0.0168,0.4,0.832,21.264,0.832,2.224,1,270.01,0,0,1,-4.61,0,0,0,270,0.6531,0.0001,-0.7572,0,270.01,4.98,-497.66,21.62,0.009,0,0,3,742.87,-2.39,0,1207.36,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,629.94,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.81,1083.34,2,0,0.08,0.08,28,10,0.12,0.08,2.94,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
