t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_round_blend_h,flare_round_blend_ttg,flare_round_blend,flare_mode,flare_auth_limited,flare_auth_reason,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_theta_cmd_raw,flare_theta_cmd_clamped,flare_theta_clamp_active,flare_aoa_clamp_active,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.22,APPROACH,ILS_TRACK,101.4,88,-13.4,927.9,851.06,-17.73,-6.78,2.39,269.86,-0.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-9.88,0,0,0,90,0,0,0,0,0,-0.3,-24.85,16.769,0,0,0,3,927.9,0,0,953.13,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,851.06,0,0,0,0,0,0,0,0,0,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.99,1530.77,6,0,0.2,0.2,1,3.45,0.2,0.02,0.22,FLYING,C-1000F,0:/Integrated Flight Computer/aircraft/c_1000f_cfg.ks (inferred preloaded)
0.58,APPROACH,ILS_TRACK,102.17,88,-14.17,921.01,844.45,-19.31,-7.82,2.09,270.02,-0.248,0,0,0,1,0.6,1.399,0.75,0.35,0.0168,0.4,8.5,54.575,41.758,14.125,1,270.06,0,0,1,-10.61,0,0,0,270.03,0.9859,0.001,-0.1671,0,270.06,-0.34,-29.4,16.732,0.056,19.58,1,3,927.9,-13.449,0,951.18,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,844.45,0,0,0,0,0,0,0,0,0,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.56,1530.21,6,0,0.12,0.12,4,8.33,0.2,0.1,0.6,FLYING,C-1000F,0:/Integrated Flight Computer/aircraft/c_1000f_cfg.ks (inferred preloaded)
0.94,APPROACH,ILS_TRACK,102.86,88,-14.86,914.2,837.16,-20.4,-6.43,4.17,269.91,-0.122,0,0,0,1,0.6,2.488,0.75,0.35,0.0168,0.4,17.5,54.435,43.958,14.824,1,270.02,0,0,1,-11.21,0,0,0,270.02,0.9859,0.0003,-0.1671,0,270.02,-0.36,-34.16,16.692,0.016,20.657,1,3,927.9,-13.013,0,949.1,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,837.16,0,0,0,0,0,0,0,0,0,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.11,1529.93,6,0,0.12,0.12,7,8.33,0.12,0.12,0.96,FLYING,C-1000F,0:/Integrated Flight Computer/aircraft/c_1000f_cfg.ks (inferred preloaded)
1.3,APPROACH,ILS_TRACK,103.37,88,-15.37,907.33,829.79,-19.98,-4.54,5.75,269.88,-0.059,0,0,0,1,0.6,3.336,0.75,0.35,0.0168,0.4,26.5,54.331,45.589,15.345,1,270.05,0,0,1,-10.97,0,0,0,270.04,0.9859,0.001,-0.1672,0,270.05,-0.39,-38.93,16.653,0.054,22.426,1,3,927.9,-13.435,0,947.02,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,829.79,0,0,0,0,0,0,0,0,0,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.49,1530.14,6,0,0.12,0.12,10,8.33,0.12,0.12,1.32,FLYING,C-1000F,0:/Integrated Flight Computer/aircraft/c_1000f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,103.62,88,-15.62,900.67,822.63,-19.2,-2.95,7,269.95,0.031,0,0,0,1,0.6,3.996,0.75,0.35,0.0168,0.4,35.5,54.277,46.43,15.614,1,270.04,0,0,1,-10.56,0,0,0,270.04,0.9859,0.0007,-0.1672,0,270.04,-0.43,-43.55,16.613,0.042,22.972,1,3,927.9,-12.384,0,944.93,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,822.63,0,0,0,0,0,0,0,0,0,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.54,1530.95,6,0,0.12,0.12,13,8.33,0.12,0.12,1.68,FLYING,C-1000F,0:/Integrated Flight Computer/aircraft/c_1000f_cfg.ks (inferred preloaded)
1.92,APPROACH,ILS_TRACK,103.57,88,-15.57,896.18,817.71,-18,-1.37,7.97,269.95,0.071,0,0,0,1,0.6,4.354,0.75,0.35,0.0168,0.4,42,54.285,46.313,15.577,1,270.04,0,0,1,-9.98,0,0,0,270.04,0.9859,0.0008,-0.1673,0,270.04,-0.46,-46.56,16.584,0.045,23.041,1,3,927.9,-11.343,0,943.41,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,817.71,0,0,0,0,0,0,0,0,0,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.27,1532.07,6,0,0.12,0.12,15,7.69,0.14,0.12,1.94,FLYING,C-1000F,0:/Integrated Flight Computer/aircraft/c_1000f_cfg.ks (inferred preloaded)
2.18,APPROACH,ILS_TRACK,103.35,88,-15.35,891.78,813.22,-16.58,-0.86,7.67,269.96,0.099,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,45.679,54.325,45.679,15.374,1,270.05,0,0,1,-9.21,0,0,0,270.05,0.9859,0.0008,-0.1673,0,270.05,-0.49,-49.45,16.555,0.047,23.681,1,3,927.9,-11.056,0,941.9,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,813.22,0,0,0,0,0,0,0,0,0,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.74,1533.52,6,0,0.12,0.12,17,7.69,0.14,0.12,2.2,FLYING,C-1000F,0:/Integrated Flight Computer/aircraft/c_1000f_cfg.ks (inferred preloaded)
2.44,APPROACH,ILS_TRACK,103.1,88,-15.1,887.63,809.06,-15.54,-0.86,7.16,269.96,0.119,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,44.895,54.375,44.895,15.123,1,270.05,0,0,1,-8.64,0,0,0,270.04,0.9859,0.0008,-0.1674,0,270.05,-0.51,-52.14,16.526,0.048,23.649,1,3,927.9,-10.007,0,940.39,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,809.06,0,0,0,0,0,0,0,0,0,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.87,1535.01,6,0,0.12,0.12,19,7.69,0.14,0.12,2.46,FLYING,C-1000F,0:/Integrated Flight Computer/aircraft/c_1000f_cfg.ks (inferred preloaded)
2.7,APPROACH,ILS_TRACK,102.83,88,-14.83,883.84,805.13,-14.52,-0.4,7.15,269.97,0.134,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,44.041,54.43,44.041,14.851,1,270.04,0,0,1,-8.14,0,0,0,270.05,0.9859,0.0007,-0.1674,0,270.04,-0.54,-54.47,16.497,0.04,23.221,1,3,927.9,-8.599,0,938.88,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,805.13,0,0,0,0,0,0,0,0,0,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.61,1536.5,6,0,0.12,0.12,21,7.69,0.14,0.12,2.72,FLYING,C-1000F,0:/Integrated Flight Computer/aircraft/c_1000f_cfg.ks (inferred preloaded)
2.96,APPROACH,ILS_TRACK,102.52,88,-14.52,880.24,801.51,-13.42,-0.28,6.67,269.97,0.142,0,0,-1.745,1,0.6,4.5,0.75,0.35,0.0168,0.4,43.066,54.492,43.066,14.54,1,270.05,0,0,1,-7.53,0,0,0,270.05,0.9859,0.0009,-0.1675,0,270.05,-0.56,-56.6,16.469,0.05,23.397,1,3,927.9,-8.023,0,937.38,0,0,0,0,0,0,,0,NONE,0,0,0,0,0,0,0,0,0,0,0,801.51,0,0,0,0,0,0,0,0,0,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.94,1538.04,6,0,0.12,0.12,23,7.69,0.14,0.12,2.98,FLYING,C-1000F,0:/Integrated Flight Computer/aircraft/c_1000f_cfg.ks (inferred preloaded)
