t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
0.98,APPROACH,FLY_TO_FIX,0.36,140.8,140.44,3.7,0,0.24,0.35,91.74,-0.041,0.2,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.02,LANDED
1.76,APPROACH,FLY_TO_FIX,0.38,141.6,141.22,3.7,0,0.24,0.37,91.81,-0.039,0.4,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.8,LANDED
2.38,APPROACH,FLY_TO_FIX,0.39,142.4,142.01,3.7,0,0.24,0.37,91.87,-0.041,0.6,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2.42,LANDED
3.08,APPROACH,FLY_TO_FIX,0.41,143.2,142.79,3.7,0,0.24,0.36,91.93,-0.039,0.6115,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.12,LANDED
3.74,APPROACH,FLY_TO_FIX,0.42,144,143.58,3.7,0,0.24,0.37,91.99,-0.04,0.6109,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.78,LANDED
4.44,APPROACH,FLY_TO_FIX,0.43,144.8,144.37,3.7,0,0.24,0.35,92.05,-0.039,0.6103,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4.48,LANDED
5.06,APPROACH,FLY_TO_FIX,0.45,145.6,145.15,3.7,0,0.24,0.38,92.1,-0.04,0.61,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5.1,LANDED
5.76,APPROACH,FLY_TO_FIX,0.46,146.4,145.94,3.7,0,0.24,0.37,92.15,-0.039,0.6095,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5.8,LANDED
6.42,APPROACH,FLY_TO_FIX,0.47,147.2,146.73,3.7,0,0.24,0.38,92.21,-0.04,0.6093,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6.46,LANDED
7.12,APPROACH,FLY_TO_FIX,0.49,148,147.51,3.7,0,0.24,0.36,92.27,-0.039,0.609,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7.16,LANDED
7.74,APPROACH,FLY_TO_FIX,0.5,148.8,148.3,3.7,0,0.24,0.36,92.32,-0.04,0.609,20,270,5,0,0,0,0,0,0,0,0,91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7.78,LANDED
