t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,phase_el_s,status
0.94,TAKEOFF,TO_PREFLIGHT,0.12,80,79.88,4.54,-0.4,2.55,75.01,89.44,-0.048,0.2,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.962,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.42,2,0,0.78,0.5,0.22,LANDED
3.48,TAKEOFF,TO_PREFLIGHT,0.16,80,79.84,3.59,-0.01,-0.24,-1.54,89.5,-0.037,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.962,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.38,888.42,2,0,0.6,0.5,2.74,LANDED
6.04,TAKEOFF,TO_PREFLIGHT,0.15,80,79.85,3.59,0.01,-0.22,-3.01,89.84,-0.043,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.962,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.12,888.41,2,0,0.62,0.5,5.3,LANDED
8.62,TAKEOFF,TO_PREFLIGHT,0.39,80,79.61,3.58,0,-0.23,-0.09,89.87,-0.049,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.962,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,888.4,2,0,0.62,0.5,7.88,LANDED
10.66,TAKEOFF,TO_GROUND_ROLL,3.18,80,76.82,3.62,0.02,-0.12,-0.42,89.88,-0.048,1,0,0,0,0,0,0,0,0,0,90.25,0,0,0,0,0.01,0,0,0,0,90.25,1,0.01,-0.38,-0.0009,0.578,0,-0.0009,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721.32,888.34,2,0,0.64,0.5,9.94,LANDED
12.74,TAKEOFF,TO_GROUND_ROLL,12.77,80,67.23,3.62,-0.03,-0.1,0.03,90.08,-0.045,1,0,0,0,0,0,0,0,0,0,90.39,0,0,0,0,0.019,0,0,0,0,90.39,1,0.019,-0.327,0.0079,0.675,0,0.0079,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.57,887.55,2,0,0.66,0.5,12.02,LANDED
14.82,TAKEOFF,TO_GROUND_ROLL,23.06,80,56.94,3.62,-0.05,-0.09,0.03,90.41,-0.04,1,0,0,0,0,0,0,0,0,0,90.39,0,0,0,0,0.029,0,0,0,0,90.39,1,0.029,-0.003,-0.003,0.778,0,-0.003,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813.63,885.99,2,0,0.66,0.5,14.1,LANDED
16.94,TAKEOFF,TO_GROUND_ROLL,33.94,80,46.06,3.62,-0.07,-0.09,0.02,90.82,-0.035,1,0,0,0,0,0,0,0,0,0,90.37,0,0,0,0,0.023,0,0,0,0,90.37,1,0.023,0.413,-0.0227,0.886,0,-0.0227,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836.73,883.92,2,0,0.68,0.5,16.22,LANDED
19.06,TAKEOFF,TO_GROUND_ROLL,45.07,80,34.93,3.62,-0.09,-0.08,0.02,91.26,-0.032,1,0,0,0,0,0,0,0,0,0,90.33,0,0,0,0,-0.018,0,0,0,0,90.33,1,-0.018,0.893,-0.0486,0.998,0,-0.0486,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851.06,881.83,2,0,0.68,0.5,18.34,LANDED
21.18,TAKEOFF,TO_GROUND_ROLL,56.35,80,23.65,3.62,-0.1,-0.08,0.02,91.68,-0.032,1,0,0,0,0,0,0,0,0,0,90.24,0,0,0,0,-0.112,0,0,0,0,90.24,1,-0.112,1.409,-0.0729,1,0,-0.0729,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.12,880.21,2,0,0.68,0.5,20.46,LANDED
