t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,phase_el_s,status
0.94,TAKEOFF,TO_PREFLIGHT,0.18,80,79.82,4.12,-0.14,1.33,32.8,91.32,-0.043,0.2,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.913,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.42,2,0,0.22,LANDED
3.52,TAKEOFF,TO_PREFLIGHT,0.03,80,79.97,3.62,0.02,-0.11,-17.19,91.21,-0.078,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.913,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.42,888.42,2,0,2.78,LANDED
6.08,TAKEOFF,TO_PREFLIGHT,0.16,80,79.84,3.59,0,-0.22,-1.75,90.69,-0.04,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.913,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.94,888.41,2,0,5.34,LANDED
8.66,TAKEOFF,TO_PREFLIGHT,0.4,80,79.6,3.58,0,-0.24,-0.34,90.4,-0.052,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,0.913,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.09,888.4,2,0,7.92,LANDED
10.7,TAKEOFF,TO_GROUND_ROLL,3.18,80,76.82,3.62,0.02,-0.13,-0.43,90.39,-0.052,1,0,0,0,0,0,0,0,0,0,90.72,0,0,0,0,-0.009,0,0,0,0,90.72,1,-0.009,-0.333,0.0331,0.578,0,0.0331,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.04,888.34,2,0,9.98,LANDED
12.78,TAKEOFF,TO_GROUND_ROLL,12.79,80,67.21,3.62,-0.03,-0.1,0.03,90.47,-0.053,1,0,0,0,0,0,0,0,0,0,90.39,0,0,0,0,-0.009,0,0,0,0,90.39,1,-0.009,0.077,-0.0026,0.675,0,-0.0026,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.61,887.56,2,0,12.06,LANDED
14.84,TAKEOFF,TO_GROUND_ROLL,22.98,80,57.02,3.62,-0.05,-0.09,0.03,90.51,-0.05,1,0,0,0,0,0,0,0,0,0,90.38,0,0,0,0,-0.011,0,0,0,0,90.38,1,-0.011,0.118,-0.0049,0.777,0,-0.0049,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813.4,886.02,2,0,14.12,LANDED
16.96,TAKEOFF,TO_GROUND_ROLL,33.86,80,46.14,3.62,-0.07,-0.09,0.02,90.57,-0.049,1,0,0,0,0,0,0,0,0,0,90.37,0,0,0,0,-0.017,0,0,0,0,90.37,1,-0.017,0.192,-0.009,0.885,0,-0.009,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836.6,883.96,2,0,16.24,LANDED
19.08,TAKEOFF,TO_GROUND_ROLL,44.99,80,35.01,3.62,-0.09,-0.08,0.02,90.66,-0.049,1,0,0,0,0,0,0,0,0,0,90.36,0,0,0,0,-0.031,0,0,0,0,90.36,1,-0.031,0.293,-0.0151,0.997,0,-0.0151,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850.98,881.87,2,0,18.36,LANDED
21.2,TAKEOFF,TO_GROUND_ROLL,56.27,80,23.73,3.62,-0.1,-0.08,0.02,90.75,-0.049,1,0,0,0,0,0,0,0,0,0,90.33,0,0,0,0,-0.058,0,0,0,0,90.33,1,-0.058,0.408,-0.0206,1,0,-0.0206,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.07,880.23,2,0,20.48,LANDED
23.32,TAKEOFF,TO_GROUND_ROLL,67.65,80,12.35,3.62,-0.1,-0.07,0.01,90.84,-0.049,1,0,0,0,0,0,0,0,0,0,90.29,0,0,0,0,-0.102,0,0,0,0,90.29,1,-0.102,0.543,-0.027,1,0,-0.027,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866.37,879.55,2,0,22.6,LANDED
25.44,TAKEOFF,TO_GROUND_ROLL,79.13,80,0.87,3.62,-0.09,-0.05,0.02,90.92,-0.025,1,0,0,0,0,0,0,0,0,0,90.23,0,0,0,0,-0.166,0,0,0,0,90.23,1,-0.166,0.693,-0.034,1,0,-0.034,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879.87,888.75,2,0,24.72,LANDED
27.56,TAKEOFF,TO_GROUND_ROLL,90.88,80,-10.88,3.62,-0.1,-0.06,-0.01,90.9,-0.069,1,0,0,0,0,0,0,0,0,0,90.16,0,0,0,0,-0.25,0,0,0,0,90.16,1,-0.25,0.749,-0.0342,1,0,-0.0342,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908.89,915.06,2,0,26.84,LANDED
29.68,TAKEOFF,TO_GROUND_ROLL,103.1,80,-23.1,3.64,-0.03,-0.02,-0.01,90.77,-0.073,1,0,0,0,0,0,0,0,0,0,90.08,0,0,0,0,-0.329,0,0,0,0,90.08,1,-0.329,0.689,-0.031,1,0,-0.031,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.36,954.78,2,0,28.96,LANDED
