t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,phase_el_s,status
1.14,ASCENT,AB_ZOOM,248.5,80,-168.5,4994.65,0.94,8.44,8.26,90,0.014,1,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.546,0,DEGRADED,29.9,0.967,4992,0,1,471.38,14.12,0.5,0,0,0.42,FLYING
3.54,ASCENT,AB_ZOOM,258.55,80,-178.55,4994.35,-2.14,8.27,15.98,74.21,58.206,1,0,0,0,0,0,0,0,0,0,0,0.869,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,98220.568,DEGRADED,31,1.001,4992,0,1.1305,1642.5,1357.44,1.25,0,0,2.82,FLYING
5.92,ASCENT,RKT_SUSTAIN,248.15,80,-168.15,4989.98,-2.04,9.66,17.38,67.34,53.876,1,0,0,0,0,0,0,0,0,0,0,1.926,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEGRADED,31,0.972,4991,0,1.1306,1419.95,-668.78,2.25,0.375,0,5.2,FLYING
8.26,ASCENT,RKT_SUSTAIN,234.21,80,-154.21,4986.35,-1.3,10.95,17.64,62.53,49.912,1,0,0,0,0,0,0,0,0,0,0,3.586,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEGRADED,28.9,0.926,4988,0,1.1306,872.03,-2492.69,3.75,0.965,0,7.56,FLYING
10.56,ASCENT,RKT_SUSTAIN,221.3,80,-141.3,4985.43,0.14,12.25,18.23,57.49,46.473,1,0,0,0,0,0,0,0,0,0,0,4.267,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEGRADED,26.5,0.883,4985,0,1.1306,535.53,-3499.21,4.25,1,0,9.86,FLYING
12.92,ASCENT,RKT_SUSTAIN,210.23,80,-130.23,4987.41,1.12,13.25,17.65,54.51,41.541,1,0,0,0,0,0,0,0,0,0,0,2.895,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEGRADED,24.2,0.845,4984,0,1.1306,328.88,-3881.48,2.75,1,0,12.22,FLYING
15.28,ASCENT,RKT_SUSTAIN,200.66,80,-120.66,4990.84,1.46,14.25,17.78,51.39,37.616,1,0,0,0,0,0,0,0,0,0,0,1.446,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEGRADED,22.3,0.812,4985,0,1.1306,201.98,-3897.84,1.25,1,0,14.58,FLYING
17.64,ASCENT,RKT_SUSTAIN,191.87,80,-111.87,4994.49,1.31,15.15,18.08,48.57,33.929,1,0,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEGRADED,20.5,0.781,4987,0,1.1306,124.04,-3783.97,0.034,1,0,16.94,FLYING
20,ASCENT,RKT_SUSTAIN,183.62,80,-103.62,4997.4,0.91,16.08,18.09,47.13,26.948,1,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEGRADED,19,0.752,4989,0,1.1306,76.18,-3602.97,0.022,1,0,19.3,FLYING
22.36,ASCENT,RKT_SUSTAIN,175.94,80,-95.94,4999.57,0.56,17.75,18.83,46.9,19.12,1,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,17.6,0.724,4991,0,1.1306,46.78,-3334.85,0.011,1,0,21.64,FLYING
