t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,yaw_cmd,roll_cmd,flaps_cur,flaps_tgt,phase_el_s,status
114.68,APPROACH,ILS_TRACK,75.4,76,0.6,19.19,-4.13,3.65,6.66,270.4,0.01,0.199,13.834,270.38,-3.038,0.5,0.17,0.327,-0.02,-0.038,0,0,0,270.41,0,0,0,0,0,0,1,1,114.72,FLYING
114.88,APPROACH,ILS_TRACK,75.37,76,0.63,17.47,-4.13,3.65,6.66,270.4,0.01,0.2021,13.96,270.38,-3.037,0.5,0.16,0.312,-0.02,-0.037,0,0,0,270.41,0,0,0,0,0,0,1,1,114.92,FLYING
115.08,APPROACH,ILS_TRACK,75.34,76,0.66,16.68,-4.13,3.65,6.67,270.4,0.01,0.2052,14.091,270.38,-3.037,0.5,0.16,0.296,-0.02,-0.037,0,0,0,270.41,0,0,0,0,0,0,1,1,115.12,FLYING
115.3,FLARE,ILS_TRACK,75.31,76,0.69,15.8,-4.12,3.66,6.67,270.4,0.01,0.2082,14.227,270.38,-3.037,0.5,0.16,0.28,-0.02,-0.037,-3.135,0,0,270.41,0,0,0,0,0,0,1,1,0.04,FLYING
115.48,FLARE,ILS_TRACK,75.29,76,0.71,15.09,-4.12,3.66,6.67,270.4,0.011,0,14.227,270.4,-2.758,0.5,0.16,0.28,-0.02,-0.037,-2.758,-2.5,0.035,270.41,0,0,0,0,0,0,1,1,0.22,FLYING
115.62,FLARE,ILS_TRACK,75.28,76,0.72,14.53,-4.12,3.7,6.71,270.4,0.01,0,14.227,270.4,-2.538,0.5,0.16,0.28,-0.02,-0.037,-2.538,-2.5,0.07,270.41,0,0,0,0,0,0,1,1,0.36,FLYING
115.76,FLARE,ILS_TRACK,75.25,76,0.75,13.98,-4.1,3.8,6.8,270.4,0.011,0,14.227,270.4,-2.318,0.5,0.16,0.28,-0.02,-0.037,-2.318,-2.5,0.105,270.41,0,0,0,0,0,0,1,1,0.5,FLYING
115.9,FLARE,ILS_TRACK,75.22,76,0.78,13.44,-4.08,3.92,6.89,270.4,0.01,0,14.227,270.4,-2.099,0.5,0.16,0.28,-0.02,-0.037,-2.099,-2.5,0.139,270.41,0,0,0,0,0,0,1,1,0.64,FLYING
116.02,FLARE,ILS_TRACK,75.18,76,0.82,12.9,-4,4.05,6.99,270.4,0.009,0,14.227,270.4,-1.904,0.5,0.16,0.28,-0.02,-0.037,-1.904,-2.5,0.173,270.41,0,0,0,0,0,0,1,1,0.78,FLYING
116.16,FLARE,ILS_TRACK,75.13,76,0.87,12.37,-3.93,4.16,7.04,270.4,0.01,0,14.227,270.4,-1.905,0.5,0.16,0.28,-0.02,-0.037,-1.905,-2.5,0.207,270.41,0,0,0,0,0,0,1,1,0.92,FLYING
116.3,FLARE,ILS_TRACK,75.07,76,0.93,11.85,-3.85,4.22,7.04,270.4,0.01,0,14.227,270.4,-1.907,0.5,0.16,0.28,-0.02,-0.037,-1.907,-2.5,0.24,270.41,0,0,0,0,0,0,1,1,1.06,FLYING
116.48,FLARE,ILS_TRACK,74.98,76,1.02,11.2,-3.75,4.28,7.04,270.4,0.009,0,14.227,270.4,-1.909,0.5,0.16,0.28,-0.02,-0.037,-1.909,-2.5,0.281,270.41,0,0,0,0,0,0,1,1,1.24,FLYING
116.62,FLARE,ILS_TRACK,74.9,76,1.1,10.7,-3.68,4.33,7.04,270.4,0.009,0,14.227,270.4,-1.911,0.5,0.16,0.28,-0.02,-0.037,-1.911,-2.5,0.313,270.41,0,0,0,0,0,0,1,1,1.38,FLYING
116.76,FLARE,ILS_TRACK,74.82,76,1.18,10.21,-3.62,4.38,7.04,270.4,0.009,0,14.227,270.4,-1.913,0.5,0.16,0.28,-0.02,-0.037,-1.913,-2.5,0.344,270.41,0,0,0,0,0,0,1,1,1.52,FLYING
116.9,FLARE,ILS_TRACK,74.73,76,1.27,9.73,-3.55,4.42,7.04,270.4,0.008,0,14.227,270.4,-1.915,0.5,0.16,0.28,-0.02,-0.037,-1.915,-2.5,0.375,270.41,0,0,0,0,0,0,1,1,1.66,FLYING
117.04,FLARE,ILS_TRACK,74.64,76,1.36,9.26,-3.5,4.46,7.04,270.4,0.009,0,14.227,270.4,-1.918,0.5,0.16,0.28,-0.02,-0.037,-1.918,-2.5,0.405,270.41,0,0,0,0,0,0,1,1,1.8,FLYING
117.2,FLARE,ILS_TRACK,74.54,76,1.46,8.79,-3.44,4.51,7.05,270.4,0.009,0,14.227,270.4,-1.868,0.5,0.16,0.28,-0.02,-0.037,-1.868,-2.432,0.434,270.41,0,0,0,0,0,0,1,1,1.94,FLYING
117.34,FLARE,ILS_TRACK,74.44,76,1.56,8.34,-3.39,4.56,7.07,270.4,0.009,0,14.227,270.4,-1.779,0.5,0.16,0.28,-0.02,-0.037,-1.779,-2.312,0.463,270.41,0,0,0,0,0,0,1,1,2.08,FLYING
117.52,FLARE,ILS_TRACK,74.31,76,1.69,7.76,-3.32,4.65,7.1,270.4,0.009,0,14.227,270.4,-1.665,0.5,0.16,0.28,-0.02,-0.037,-1.665,-2.161,0.499,270.41,0,0,0,0,0,0,1,1,2.26,FLYING
117.66,FLARE,ILS_TRACK,74.2,76,1.8,7.32,-3.25,4.73,7.14,270.4,0.009,0,14.227,270.4,-1.579,0.5,0.16,0.28,-0.02,-0.037,-1.579,-2.047,0.527,270.41,0,0,0,0,0,0,1,1,2.4,FLYING
117.8,FLARE,ILS_TRACK,74.08,76,1.92,6.89,-3.19,4.81,7.18,270.4,0.009,0,14.227,270.4,-1.495,0.5,0.16,0.28,-0.02,-0.037,-1.495,-1.934,0.554,270.41,0,0,0,0,0,0,1,1,2.54,FLYING
117.94,FLARE,ILS_TRACK,73.96,76,2.04,6.47,-3.12,4.89,7.21,270.4,0.01,0,14.227,270.4,-1.412,0.5,0.16,0.28,-0.02,-0.037,-1.412,-1.824,0.581,270.41,0,0,0,0,0,0,1,1,2.68,FLYING
118.08,FLARE,ILS_TRACK,73.84,76,2.16,6.06,-3.05,4.97,7.25,270.4,0.009,0,14.227,270.4,-1.331,0.5,0.16,0.28,-0.02,-0.037,-1.331,-1.716,0.607,270.41,0,0,0,0,0,0,1,1,2.82,FLYING
118.22,FLARE,ILS_TRACK,73.71,76,2.29,5.66,-2.98,5.06,7.28,270.4,0.009,0,14.227,270.4,-1.251,0.5,0.16,0.28,-0.02,-0.037,-1.251,-1.611,0.633,270.41,0,0,0,0,0,0,1,1,2.96,FLYING
