t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
113.02,APPROACH,ILS_TRACK,75.64,76,0.36,34.15,-4.14,3.61,6.62,270.4,0.009,0.176,13.034,270.38,-3.052,0.47,0.21,0.424,-0.018,-0.052,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,113.06,FLYING
113.22,APPROACH,ILS_TRACK,75.6,76,0.4,32.44,-4.14,3.62,6.63,270.4,0.009,0.179,13.112,270.38,-3.051,0.47,0.21,0.409,-0.018,-0.051,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,113.26,FLYING
113.44,FLARE,ILS_TRACK,75.56,76,0.44,30.71,-4.14,3.62,6.63,270.4,0.008,0.1821,13.199,270.38,-3.051,0.47,0.21,0.393,-0.018,-0.051,-3.136,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.06,FLYING
113.62,FLARE,ILS_TRACK,75.53,76,0.47,26.2,-4.14,3.63,6.64,270.4,0.008,0,13.199,270.4,-2.6,0.47,0.21,0.393,-0.018,-0.051,-2.6,-2.5,0.081,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.22,FLYING
113.78,FLARE,ILS_TRACK,75.5,76,0.5,24.27,-4.12,3.74,6.75,270.4,0.009,0,13.199,270.4,-2.243,0.47,0.21,0.393,-0.018,-0.051,-2.243,-2.5,0.193,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.38,FLYING
113.94,FLARE,ILS_TRACK,75.47,76,0.53,22.6,-4.11,3.91,6.88,270.4,0.008,0,13.199,270.4,-1.897,0.47,0.21,0.393,-0.018,-0.051,-1.897,-2.5,0.247,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.54,FLYING
114.1,FLARE,ILS_TRACK,75.41,76,0.59,20.94,-3.99,4.11,7.03,270.4,0.008,0,13.199,270.4,-1.898,0.47,0.21,0.393,-0.018,-0.051,-1.898,-2.5,0.301,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.7,FLYING
114.26,FLARE,ILS_TRACK,75.35,76,0.65,19.29,-3.89,4.16,7,270.4,0.008,0,13.199,270.4,-1.9,0.47,0.21,0.393,-0.018,-0.051,-1.9,-2.5,0.354,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.86,FLYING
114.42,FLARE,ILS_TRACK,75.27,76,0.73,17.83,-3.81,4.21,6.99,270.4,0.007,0,13.199,270.4,-1.902,0.47,0.21,0.393,-0.018,-0.051,-1.902,-2.5,0.408,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.02,FLYING
114.58,FLARE,ILS_TRACK,75.19,76,0.81,17.25,-3.73,4.27,7,270.4,0.006,0,13.199,270.4,-1.829,0.47,0.21,0.393,-0.018,-0.051,-1.829,-2.401,0.434,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.18,FLYING
114.76,FLARE,ILS_TRACK,75.08,76,0.92,16.62,-3.64,4.36,7.03,270.4,0.005,0,13.199,270.4,-1.766,0.47,0.21,0.393,-0.018,-0.051,-1.766,-2.315,0.454,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.36,FLYING
114.92,FLARE,ILS_TRACK,74.98,76,1.02,16.08,-3.55,4.45,7.06,270.4,0.005,0,13.199,270.4,-1.711,0.47,0.21,0.393,-0.018,-0.051,-1.711,-2.241,0.472,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.52,FLYING
115.08,FLARE,ILS_TRACK,74.88,76,1.12,15.54,-3.47,4.52,7.06,270.4,0.005,0,13.199,270.4,-1.658,0.47,0.21,0.393,-0.018,-0.051,-1.658,-2.168,0.49,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.68,FLYING
