t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_intg,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
112.84,APPROACH,ILS_TRACK,75.63,76,0.37,35.36,-4.14,3.61,6.62,270.4,0.012,0.1769,13.053,270.38,-3.048,0.51,0.2,0.438,-0.02,-0.048,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,112.88,FLYING
113.04,APPROACH,ILS_TRACK,75.59,76,0.41,33.86,-4.14,3.62,6.63,270.4,0.013,0.18,13.134,270.38,-3.048,0.51,0.19,0.422,-0.02,-0.048,0,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,113.08,FLYING
113.26,FLARE,ILS_TRACK,75.55,76,0.45,31.97,-4.14,3.62,6.63,270.4,0.013,0.183,13.223,270.38,-3.047,0.51,0.19,0.407,-0.02,-0.047,-3.135,0,0,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.06,FLYING
113.42,FLARE,ILS_TRACK,75.52,76,0.48,30.73,-4.14,3.63,6.64,270.4,0.013,0,13.223,270.4,-2.644,0.51,0.19,0.407,-0.02,-0.047,-2.644,-2.5,0.032,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.22,FLYING
113.58,FLARE,ILS_TRACK,75.49,76,0.51,27.3,-4.12,3.73,6.74,270.4,0.013,0,13.223,270.4,-2.287,0.51,0.19,0.407,-0.02,-0.047,-2.287,-2.5,0.085,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.38,FLYING
113.74,FLARE,ILS_TRACK,75.45,76,0.55,24.58,-4.11,3.91,6.88,270.4,0.013,0,13.223,270.4,-1.929,0.51,0.19,0.407,-0.02,-0.047,-1.929,-2.5,0.216,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.54,FLYING
113.92,FLARE,ILS_TRACK,75.39,76,0.61,22.71,-3.98,4.12,7.03,270.4,0.012,0,13.223,270.4,-1.899,0.51,0.19,0.407,-0.02,-0.047,-1.899,-2.5,0.274,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.72,FLYING
114.08,FLARE,ILS_TRACK,75.33,76,0.67,21.07,-3.88,4.19,7.02,270.4,0.011,0,13.223,270.4,-1.9,0.51,0.19,0.407,-0.02,-0.047,-1.9,-2.5,0.325,270.4,0,0,0,0,0,0,0,0,0,0,1,1,0.88,FLYING
114.24,FLARE,ILS_TRACK,75.25,76,0.75,19.44,-3.79,4.26,7.02,270.4,0.01,0,13.223,270.4,-1.902,0.51,0.19,0.407,-0.02,-0.047,-1.902,-2.5,0.376,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.04,FLYING
114.4,FLARE,ILS_TRACK,75.16,76,0.84,17.91,-3.7,4.32,7.03,270.4,0.01,0,13.223,270.4,-1.85,0.51,0.19,0.407,-0.02,-0.047,-1.85,-2.429,0.427,270.4,0,0,0,0,0,0,0,0,0,0,1,1,1.2,FLYING
