t_s,phase,ias_ms,agl_m,vs_ms,hdg_deg,bank_deg,loc_m,steer_hdg_deg,yaw_cmd,roll_cmd,flare_fpa_cmd,status
114.33,FLARE,76.03,15.73,-4.15,0,0.015,0.31,0,0,0,-3.043,FLYING
114.43,FLARE,76.03,15.33,-4.15,0,0.014,0.31,0,0,0,-2.963,FLYING
114.57,FLARE,76.03,14.77,-4.15,0,0.014,0.31,0,0,0,-2.884,FLYING
114.69,FLARE,76.02,14.29,-4.14,0,0.015,0.31,0,0,0,-2.805,FLYING
114.81,FLARE,76,13.81,-4.14,0,0.014,0.31,0,0,0,-2.725,FLYING
114.93,FLARE,75.98,13.33,-4.13,0,0.014,0.31,0,0,0,-2.646,FLYING
115.05,FLARE,75.95,12.86,-4.12,0,0.013,0.31,0,0,0,-2.567,FLYING
115.17,FLARE,75.91,12.39,-4.1,0,0.012,0.31,0,0,0,-2.488,FLYING
115.29,FLARE,75.87,11.91,-4.07,0,0.012,0.31,0,0,0,-2.409,FLYING
115.41,FLARE,75.83,11.45,-4.04,0,0.012,0.31,0,0,0,-2.33,FLYING
115.53,FLARE,75.78,10.98,-4,0,0.012,0.31,0,0,0,-2.251,FLYING
115.67,FLARE,75.71,10.45,-3.95,0,0.011,0.31,0,0,0,-2.172,FLYING
115.79,FLARE,75.65,10,-3.91,0,0.012,0.31,0,0,0,-2.093,FLYING
115.91,FLARE,75.58,9.55,-3.86,0,0.012,0.31,0,0,0,-2.014,FLYING
116.03,FLARE,75.51,9.11,-3.81,0,0.013,0.31,0,0,0,-1.935,FLYING
116.15,FLARE,75.43,8.67,-3.75,0,0.013,0.31,0,0,0,-1.856,FLYING
116.27,FLARE,75.36,8.24,-3.7,0,0.014,0.31,0,0,0,-1.778,FLYING
116.39,FLARE,75.27,7.82,-3.64,0,0.014,0.31,0,0,0,-1.699,FLYING
116.51,FLARE,75.18,7.41,-3.57,0,0.014,0.31,0,0,0,-1.621,FLYING
116.63,FLARE,75.09,7,-3.51,0,0.014,0.31,0,0,0,-1.542,FLYING
116.77,FLARE,74.98,6.54,-3.43,0,0.014,0.31,0,0,0,-1.464,FLYING
116.89,FLARE,74.88,6.15,-3.36,0,0.015,0.31,0,0,0,-1.386,FLYING
117.01,FLARE,74.78,5.77,-3.3,0,0.015,0.31,0,0,0,-1.308,FLYING
117.13,FLARE,74.68,5.39,-3.22,0,0.016,0.31,0,0,0,-1.23,FLYING
117.25,FLARE,74.57,5.03,-3.15,0,0.015,0.31,0,0,0,-1.153,FLYING
117.37,FLARE,74.46,4.67,-3.08,0,0.016,0.31,0,0,0,-1.075,FLYING
