t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
1,APPROACH,FLY_TO_FIX,176.96,75.4,-101.56,1460.19,-2.25,-0.99,-0.39,269.48,-0.102,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,327.48,-5.091,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,FLYING
1.72,APPROACH,FLY_TO_FIX,178.72,75.8,-102.92,1477.11,-2.22,-1.17,-0.47,270.08,-11.271,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,327.76,-5.082,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,FLYING
2.44,APPROACH,FLY_TO_FIX,179.98,76.2,-103.78,1502.78,-3.02,-2.03,-0.74,270.81,-31.218,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,328.04,-5.073,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,FLYING
3.16,APPROACH,FLY_TO_FIX,181.01,76.6,-104.41,1508.23,-6.08,-2.49,0.03,272.27,-52.24,0,0,0,1,0.6,0.939,0.75,0.35,0.0168,0.4,328.32,-5.059,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,FLYING
3.88,APPROACH,FLY_TO_FIX,181.07,77,-104.07,1530.48,-5.08,-0.58,4.46,280.02,-71.119,0,0,0,1,0.6,1.129,0.75,0.35,0.0168,0.4,328.6,-5.04,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,FLYING
4.6,APPROACH,FLY_TO_FIX,180.3,77.4,-102.9,1549.91,-6.26,-0.77,4.86,285.98,-76.041,0,0,0,1,0.6,1.304,0.75,0.35,0.0168,0.4,328.86,-5.021,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,FLYING
5.32,APPROACH,FLY_TO_FIX,179.22,77.8,-101.42,1568.85,-7.98,-1.06,5.02,291.9,-76.75,0,0,0,1,0.6,1.465,0.75,0.35,0.0168,0.4,329.1,-4.996,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,FLYING
6.17,APPROACH,FLY_TO_FIX,177.8,78.2,-99.6,1556.18,-10.16,-1.6,5.22,299.05,-76.784,0,0,0,1,0.6,1.613,0.75,0.35,0.0168,0.4,329.34,-4.961,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,FLYING
7.23,APPROACH,FLY_TO_FIX,175.7,78.6,-97.1,1515.09,-12.82,-2.26,5.3,307.84,-76.179,0,0,-20,1,0.6,1.75,0.75,0.35,0.0168,0.4,329.6,-4.902,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,FLYING
8.28,APPROACH,FLY_TO_FIX,174.01,79,-95.01,1521.61,-15.21,-2.88,3.32,313.09,-69.952,0,0,-19.9,1,0.6,1.876,0.75,0.35,0.0168,0.4,329.8,-4.829,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37,FLYING
9.33,APPROACH,FLY_TO_FIX,173.19,79.4,-93.79,1630.59,-16.64,-3.32,2.08,317.08,-61.089,0,0,-19.8,1,0.6,1.993,0.75,0.35,0.0168,0.4,329.96,-4.746,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42,FLYING
10.38,APPROACH,FLY_TO_FIX,172.76,79.8,-92.96,1682.57,-17.22,-3.73,1.23,320.1,-51.705,0,0,-19.701,1,0.6,2.1,0.75,0.35,0.0168,0.4,330.07,-4.657,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47,FLYING
11.43,APPROACH,FLY_TO_FIX,172.46,80.2,-92.26,1676.88,-17.39,-4.04,0.71,322.47,-41.939,0,0,-19.603,1,0.6,2.2,0.771,0.35,0.0168,0.4,330.15,-4.566,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52,FLYING
12.48,APPROACH,FLY_TO_FIX,172.2,80.6,-91.6,1675.85,-17.29,-4.3,0.37,324.37,-33.444,0,0,-19.505,1,0.6,2.292,0.792,0.35,0.0168,0.4,330.21,-4.474,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57,FLYING
13.53,APPROACH,FLY_TO_FIX,171.91,81,-90.91,1648.9,-17.04,-4.45,0.18,325.89,-25.879,0,0,-19.407,1,0.6,2.377,0.807,0.35,0.0168,0.4,330.26,-4.384,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.62,FLYING
14.58,APPROACH,FLY_TO_FIX,171.59,81,-90.59,1624.44,-16.71,-4.5,0.08,327.05,-19.194,0,0,-19.31,1,0.6,2.456,0.817,0.35,0.0168,0.4,330.29,-4.295,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.67,FLYING
15.63,APPROACH,FLY_TO_FIX,171.25,81,-90.25,1588.64,-16.34,-4.51,0.03,328,-14.894,0,0,-19.214,1,0.6,2.529,0.825,0.35,0.0168,0.4,330.32,-4.207,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72,FLYING
16.68,APPROACH,FLY_TO_FIX,170.87,81,-89.87,1551.93,-15.96,-4.45,0,328.69,-10.872,0,0,-19.118,1,0.6,2.597,0.831,0.35,0.0168,0.4,330.34,-4.122,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,FLYING
17.73,APPROACH,FLY_TO_FIX,170.46,81,-89.46,1485.86,-15.55,-4.37,0,329.2,-7.649,0,0,-19.022,1,0.6,2.66,0.836,0.35,0.0168,0.4,330.35,-4.039,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.82,FLYING
18.78,APPROACH,FLY_TO_FIX,170.01,81,-89.01,1474.93,-15.13,-4.27,0,329.56,-5.28,0,0,-18.927,1,0.6,2.719,0.841,0.35,0.0168,0.4,330.36,-3.959,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.87,FLYING
19.83,APPROACH,FLY_TO_FIX,169.53,81,-88.53,1440.96,-14.72,-4.17,0.01,329.82,-3.6,0,0,-18.832,1,0.6,2.773,0.846,0.35,0.0168,0.4,330.36,-3.88,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,FLYING
20.88,APPROACH,FLY_TO_FIX,169.02,81,-88.02,1299,-14.36,-4.09,0.01,329.98,-2.218,0,0,-18.738,1,0.6,2.823,0.853,0.35,0.0168,0.4,330.37,-3.803,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.97,FLYING
21.93,APPROACH,FLY_TO_FIX,168.49,81,-87.49,1315.11,-14.05,-4,0.02,330.09,-1.342,0,0,-18.645,1,0.6,2.87,0.86,0.35,0.0168,0.4,330.37,-3.729,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.02,FLYING
22.98,APPROACH,FLY_TO_FIX,167.95,81,-86.95,1369.38,-13.76,-3.92,0.03,330.16,-0.876,0,0,-18.551,1,0.6,2.913,0.868,0.35,0.0168,0.4,330.38,-3.656,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.07,FLYING
24.03,APPROACH,FLY_TO_FIX,167.39,81,-86.39,1325.64,-13.47,-3.83,0.06,330.21,-0.624,0,0,-18.459,1,0.6,2.954,0.878,0.35,0.0168,0.4,330.38,-3.584,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.12,FLYING
25.08,APPROACH,FLY_TO_FIX,166.81,81,-85.81,1303.16,-13.19,-3.74,0.08,330.25,-0.476,0,0,-18.366,1,0.6,2.991,0.888,0.35,0.0168,0.4,330.38,-3.514,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.17,FLYING
26.13,APPROACH,FLY_TO_FIX,166.22,81,-85.22,1200.25,-12.91,-3.66,0.1,330.27,-0.378,0,0,-18.274,1,0.6,3.026,0.899,0.35,0.0168,0.4,330.38,-3.445,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.22,FLYING
27.18,APPROACH,FLY_TO_FIX,165.62,81,-84.62,1023.61,-12.64,-3.57,0.12,330.29,-0.304,0,0,-18.183,1,0.6,3.059,0.911,0.35,0.0168,0.4,330.38,-3.378,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,FLYING
28.23,APPROACH,FLY_TO_FIX,165.01,81,-84.01,958.58,-12.36,-3.48,0.14,330.31,-0.253,0,0,-18.092,1,0.6,3.09,0.923,0.35,0.0168,0.4,330.39,-3.312,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,FLYING
29.28,APPROACH,FLY_TO_FIX,164.39,81,-83.39,1141.81,-12.09,-3.39,0.17,330.32,-0.209,0,0,-18.002,1,0.6,3.118,0.937,0.35,0.0168,0.4,330.39,-3.248,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.37,FLYING
31.36,APPROACH,FLY_TO_FIX,163.35,81,-82.35,1249.41,-11.75,-3.2,0.28,330.35,-0.139,0,0,-17.912,1,0.6,3.146,0.956,0.35,0.0168,0.4,330.39,-3.141,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6,FLYING
34.16,APPROACH,FLY_TO_FIX,161.64,81,-80.64,1472.25,-11.05,-2.97,0.34,330.35,-0.04,0,0,-17.822,1,0.6,3.172,0.993,0.35,0.0168,0.4,330.39,-2.981,0,0,0,0,0,0,0,0,269.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,FLYING
