time_s,phase,ias_mps,aoa_deg,vs_mps,agl_m,lift_kN,weight_kN,lift_ratio,vs1g_est_mps
#META,tag=IFC_TAKEOFF_RWY_09,far_ok=True,alpha_crit_deg=18
0.02,TAKEOFF:TO_PREFLIGHT,0.365,-64.699,0.201,4.858,-0.011,971.105,-1E-05,-1
0.18,TAKEOFF:TO_PREFLIGHT,0.215,-69.083,0.106,4.557,-0.081,971.105,-8E-05,-1
0.4,TAKEOFF:TO_PREFLIGHT,0.155,59.971,-0.135,3.997,0.037,971.105,4E-05,-1
0.6,TAKEOFF:TO_PREFLIGHT,0.198,-44.12,0.27,3.591,-0.07,971.105,-7E-05,-1
0.78,TAKEOFF:TO_PREFLIGHT,0.365,-10.427,0.013,3.528,-0.001,971.104,0,-1
0.98,TAKEOFF:TO_PREFLIGHT,0.357,69.634,-0.431,3.685,0.089,971.104,9E-05,-1
1.2,TAKEOFF:TO_PREFLIGHT,0.028,-72.346,0.525,3.892,0,971.103,0,-1
1.38,TAKEOFF:TO_PREFLIGHT,0.364,21.715,-0.189,4.065,-0.004,971.102,0,-1
1.56,TAKEOFF:TO_PREFLIGHT,0.332,66.628,-0.221,4.135,0.057,971.1,6E-05,-1
1.74,TAKEOFF:TO_PREFLIGHT,0.115,-69.062,0.27,4.274,0,971.097,0,-1
1.92,TAKEOFF:TO_PREFLIGHT,0.153,56.257,-0.146,4.368,-0.005,971.094,0,-1
2.14,TAKEOFF:TO_PREFLIGHT,0.166,60.693,-0.006,4.377,0.006,971.09,1E-05,-1
2.4,TAKEOFF:TO_PREFLIGHT,0.139,-17.251,0.015,4.37,-0.003,971.083,0,-1
2.62,TAKEOFF:TO_PREFLIGHT,0.194,24.556,-0.084,4.237,0.007,971.076,1E-05,-1
2.84,TAKEOFF:TO_PREFLIGHT,0.254,-14.398,0.088,4.051,-0.013,971.068,-1E-05,-1
3.06,TAKEOFF:TO_PREFLIGHT,0.332,0.489,-0.009,3.803,-0.011,971.058,-1E-05,-1
3.28,TAKEOFF:TO_PREFLIGHT,0.398,-1.13,0.024,3.529,-0.004,971.047,0,-1
3.54,TAKEOFF:TO_PREFLIGHT,0.174,76.991,-0.195,3.617,0.005,971.032,1E-05,-1
3.76,TAKEOFF:TO_PREFLIGHT,0.269,79.485,-0.149,3.645,0.018,971.019,2E-05,-1
3.98,TAKEOFF:TO_PREFLIGHT,0.101,-49.505,0.161,3.668,0,971.004,0,-1
4.2,TAKEOFF:TO_PREFLIGHT,0.231,-5.663,0.019,3.607,-0.006,970.988,-1E-05,-1
4.42,TAKEOFF:TO_PREFLIGHT,0.271,-7.253,0.025,3.58,-0.001,970.971,0,-1
4.68,TAKEOFF:TO_PREFLIGHT,0.177,25.133,-0.074,3.611,0.004,970.95,0,-1
