time_s,phase,ias_mps,aoa_deg,vs_mps,agl_m,lift_kN,weight_kN,lift_ratio,vs1g_est_mps
#META,tag=IFC_TAKEOFF_RWY_09,far_ok=True,alpha_crit_deg=18
#ROTATE,t_s=0,ias_mps=0.249,aoa_deg=8.145
0,TAKEOFF:TO_PREFLIGHT,0.249,8.145,-0.027,4.379,0.01,971.105,1E-05,-1
0.12,TAKEOFF:TO_PREFLIGHT,0.252,8.834,-0.028,4.463,0.009,971.105,1E-05,-1
0.26,TAKEOFF:TO_PREFLIGHT,0.252,9.883,-0.029,4.596,0.01,971.105,1E-05,-1
0.44,TAKEOFF:TO_PREFLIGHT,0.22,12.353,-0.028,4.715,0.007,971.105,1E-05,-1
0.58,TAKEOFF:TO_PREFLIGHT,0.144,21.79,-0.021,4.805,0.003,971.105,0,-1
0.74,TAKEOFF:TO_PREFLIGHT,0.021,2.735,-0.009,4.855,0,971.105,0,-1
0.9,TAKEOFF:TO_PREFLIGHT,0.099,-2.992,-0.001,4.887,0,971.105,0,-1
1.08,TAKEOFF:TO_PREFLIGHT,0.048,7.256,-0.006,4.915,0,971.105,0,-1
1.24,TAKEOFF:TO_PREFLIGHT,0.024,14.757,-0.005,4.923,0,971.105,0,-1
1.4,TAKEOFF:TO_PREFLIGHT,0.017,-27.27,0.004,4.916,0,971.105,0,-1
1.56,TAKEOFF:TO_PREFLIGHT,0.013,-17.769,0.008,4.898,0,971.105,0,-1
1.72,TAKEOFF:TO_PREFLIGHT,0.03,-7.085,0.008,4.867,0,971.105,0,-1
1.88,TAKEOFF:TO_PREFLIGHT,0.046,-4.699,0.009,4.824,0,971.105,0,-1
2.06,TAKEOFF:TO_GROUND_ROLL,0.063,-6.178,0.013,4.772,0,971.105,0,-1
2.26,TAKEOFF:TO_GROUND_ROLL,0.077,-6.649,0.015,4.695,0,971.105,0,-1
2.42,TAKEOFF:TO_GROUND_ROLL,0.081,-6.477,0.015,4.626,0,971.105,0,-1
2.58,TAKEOFF:TO_GROUND_ROLL,0.085,-6.576,0.016,4.553,0,971.105,0,-1
2.74,TAKEOFF:TO_GROUND_ROLL,0.088,-6.478,0.015,4.479,0,971.105,0,-1
2.9,TAKEOFF:TO_GROUND_ROLL,0.091,-5.77,0.014,4.407,0,971.105,0,-1
3.06,TAKEOFF:TO_GROUND_ROLL,0.094,-4.685,0.012,4.34,0,971.105,0,-1
3.22,TAKEOFF:TO_GROUND_ROLL,0.097,-3.639,0.011,4.279,0,971.105,0,-1
3.42,TAKEOFF:TO_GROUND_ROLL,0.101,-2.443,0.008,4.218,0,971.105,0,-1
3.58,TAKEOFF:TO_GROUND_ROLL,0.104,-1.183,0.005,4.182,0,971.105,0,-1
3.74,TAKEOFF:TO_GROUND_ROLL,0.107,0.191,0.003,4.158,0,971.105,0,-1
3.9,TAKEOFF:TO_GROUND_ROLL,0.11,1.22,0.001,4.149,0,971.105,0,-1
4.06,TAKEOFF:TO_GROUND_ROLL,0.113,2.386,-0.001,4.153,0,971.105,0,-1
4.22,TAKEOFF:TO_GROUND_ROLL,0.116,3.533,-0.004,4.17,0,971.105,0,-1
4.38,TAKEOFF:TO_GROUND_ROLL,0.119,4.652,-0.006,4.201,0,971.105,0,-1
4.58,TAKEOFF:TO_GROUND_ROLL,0.123,5.848,-0.009,4.254,0,971.105,0,-1
4.74,TAKEOFF:TO_GROUND_ROLL,0.127,6.794,-0.011,4.307,0,971.105,0,-1
4.9,TAKEOFF:TO_GROUND_ROLL,0.13,7.725,-0.012,4.367,0.002,971.105,0,-1
5.06,TAKEOFF:TO_GROUND_ROLL,0.133,8.13,-0.013,4.432,0.003,971.105,0,-1
5.22,TAKEOFF:TO_GROUND_ROLL,0.136,8.582,-0.014,4.498,0.003,971.105,0,-1
5.38,TAKEOFF:TO_GROUND_ROLL,0.14,8.72,-0.014,4.563,0.003,971.105,0,-1
5.54,TAKEOFF:TO_GROUND_ROLL,0.143,8.741,-0.014,4.625,0.003,971.105,0,-1
5.74,TAKEOFF:TO_GROUND_ROLL,0.147,8.294,-0.012,4.695,0.003,971.105,0,-1
5.9,TAKEOFF:TO_GROUND_ROLL,0.15,7.66,-0.01,4.741,0.002,971.105,0,-1
6.06,TAKEOFF:TO_GROUND_ROLL,0.153,7.053,-0.008,4.778,0.002,971.105,0,-1
6.22,TAKEOFF:TO_GROUND_ROLL,0.156,6.256,-0.006,4.804,0.002,971.105,0,-1
6.38,TAKEOFF:TO_GROUND_ROLL,0.159,5.324,-0.003,4.818,0.001,971.105,0,-1
6.54,TAKEOFF:TO_GROUND_ROLL,0.163,4.205,0,4.819,0.001,971.105,0,-1
6.7,TAKEOFF:TO_GROUND_ROLL,0.166,3.207,0.003,4.809,0,971.105,0,-1
6.9,TAKEOFF:TO_GROUND_ROLL,0.17,2.171,0.006,4.779,0,971.105,0,-1
7.06,TAKEOFF:TO_GROUND_ROLL,0.173,1.331,0.009,4.744,0,971.105,0,-1
7.22,TAKEOFF:TO_GROUND_ROLL,0.177,0.696,0.01,4.7,-0.001,971.105,0,-1
7.38,TAKEOFF:TO_GROUND_ROLL,0.18,0.155,0.011,4.649,-0.001,971.105,0,-1
7.54,TAKEOFF:TO_GROUND_ROLL,0.183,-0.086,0.012,4.593,-0.001,971.105,0,-1
7.7,TAKEOFF:TO_GROUND_ROLL,0.187,-0.337,0.012,4.535,-0.001,971.105,0,-1
7.86,TAKEOFF:TO_GROUND_ROLL,0.19,-0.473,0.012,4.476,-0.001,971.105,0,-1
8.06,TAKEOFF:TO_GROUND_ROLL,0.194,-0.31,0.011,4.405,-0.001,971.105,0,-1
8.22,TAKEOFF:TO_GROUND_ROLL,0.197,-0.136,0.009,4.353,-0.001,971.105,0,-1
8.38,TAKEOFF:TO_GROUND_ROLL,0.2,0.149,0.008,4.308,-0.001,971.105,0,-1
8.54,TAKEOFF:TO_GROUND_ROLL,0.203,0.537,0.006,4.271,-0.001,971.105,0,-1
8.7,TAKEOFF:TO_GROUND_ROLL,0.206,0.915,0.004,4.243,0,971.105,0,-1
8.86,TAKEOFF:TO_GROUND_ROLL,0.209,1.439,0.002,4.226,0,971.105,0,-1
9.02,TAKEOFF:TO_GROUND_ROLL,0.212,1.973,0,4.22,0.001,971.105,0,-1
9.22,TAKEOFF:TO_GROUND_ROLL,0.216,2.574,-0.002,4.227,0.001,971.105,0,-1
9.38,TAKEOFF:TO_GROUND_ROLL,0.219,2.994,-0.004,4.246,0.002,971.105,0,-1
9.54,TAKEOFF:TO_GROUND_ROLL,0.223,3.675,-0.006,4.273,0.002,971.105,0,-1
9.7,TAKEOFF:TO_GROUND_ROLL,0.226,4.249,-0.008,4.31,0.003,971.105,0,-1
9.86,TAKEOFF:TO_GROUND_ROLL,0.229,4.615,-0.009,4.353,0.003,971.105,0,-1
10.02,TAKEOFF:TO_GROUND_ROLL,0.232,4.96,-0.01,4.402,0.004,971.105,0,-1
10.18,TAKEOFF:TO_GROUND_ROLL,0.236,5.4,-0.011,4.453,0.004,971.105,0,-1
10.38,TAKEOFF:TO_GROUND_ROLL,0.24,5.725,-0.012,4.52,0.004,971.105,0,-1
10.54,TAKEOFF:TO_GROUND_ROLL,0.243,5.824,-0.011,4.571,0.004,971.105,0,-1
10.7,TAKEOFF:TO_GROUND_ROLL,0.246,5.844,-0.011,4.619,0.004,971.105,0,-1
10.86,TAKEOFF:TO_GROUND_ROLL,0.249,5.727,-0.01,4.662,0.004,971.105,0,-1
11.02,TAKEOFF:TO_GROUND_ROLL,0.252,5.574,-0.008,4.699,0.004,971.105,0,-1
11.18,TAKEOFF:TO_GROUND_ROLL,0.255,5.26,-0.007,4.727,0.003,971.105,0,-1
11.34,TAKEOFF:TO_GROUND_ROLL,0.259,4.84,-0.004,4.746,0.003,971.105,0,-1
11.54,TAKEOFF:TO_GROUND_ROLL,0.263,4.269,-0.001,4.757,0.002,971.105,0,-1
11.7,TAKEOFF:TO_GROUND_ROLL,0.266,3.836,0.001,4.754,0.001,971.105,0,-1
11.86,TAKEOFF:TO_GROUND_ROLL,0.269,3.344,0.003,4.742,0.001,971.105,0,-1
12.02,TAKEOFF:TO_GROUND_ROLL,0.272,2.89,0.005,4.721,0.001,971.105,0,-1
12.18,TAKEOFF:TO_GROUND_ROLL,0.276,2.438,0.007,4.692,0,971.105,0,-1
12.34,TAKEOFF:TO_GROUND_ROLL,0.279,2.051,0.008,4.656,0,971.105,0,-1
12.5,TAKEOFF:TO_GROUND_ROLL,0.282,1.772,0.009,4.614,-0.001,971.105,0,-1
12.7,TAKEOFF:TO_GROUND_ROLL,0.286,1.446,0.009,4.558,-0.001,971.105,0,-1
12.86,TAKEOFF:TO_GROUND_ROLL,0.289,1.265,0.009,4.51,-0.001,971.105,0,-1
13.02,TAKEOFF:TO_GROUND_ROLL,0.293,1.235,0.009,4.464,-0.001,971.105,0,-1
13.18,TAKEOFF:TO_GROUND_ROLL,0.296,1.207,0.008,4.419,-0.001,971.105,0,-1
